id|~|scan_date|~|ticker|~|scan_time_et|~|minutes_since_open|~|gap_pct|~|prev_close|~|adv|~|adv_source|~|in_active_theme|~|rank_by_prescore|~|rank_by_gap|~|shortlisted_by_prescore|~|shortlisted_by_gap|~|acting_key|~|board_n|~|created_at
23|~|2026-08-24|~|HVII|~|2026-08-24 11:30:00.039475+00|~||~|19.46|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:30:02.775808+00
18|~|2026-08-24|~|HVII|~|2026-08-24 11:25:00.023042+00|~||~|17.15|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|2|~|t|~|t|~|prescore|~|5|~|2026-08-24 11:25:27.91153+00
15|~|2026-08-24|~|HVII|~|2026-08-24 11:20:00.021275+00|~||~|19.81|~|6.385|~|110394.760195|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:20:02.330145+00
11|~|2026-08-24|~|HVII|~|2026-08-24 11:15:00.020602+00|~||~|14.17|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|2|~|t|~|t|~|prescore|~|3|~|2026-08-24 11:15:01.829904+00
7|~|2026-08-24|~|HVII|~|2026-08-24 11:10:00.024761+00|~||~|14.17|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:10:02.299148+00
4|~|2026-08-24|~|HVII|~|2026-08-24 11:05:00.027658+00|~||~|14.17|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|2|~|t|~|t|~|prescore|~|3|~|2026-08-24 11:05:01.984769+00
1|~|2026-08-24|~|HVII|~|2026-08-24 11:00:00.106847+00|~||~|14.33|~|6.385|~|110394.760195|~|pending|~|f|~|1|~|2|~|t|~|t|~|prescore|~|3|~|2026-08-24 11:00:14.067943+00
49|~|2026-08-24|~|JLHL|~|2026-08-24 12:00:00.019954+00|~||~|11.32|~|6.6|~|87567.729589|~|pending|~|f|~|2|~|4|~|t|~|t|~|prescore|~|5|~|2026-08-24 12:00:03.356108+00
40|~|2026-08-24|~|JLHL|~|2026-08-24 11:50:00.021621+00|~||~|11.97|~|6.6|~|87567.729589|~|pending|~|f|~|2|~|4|~|t|~|t|~|prescore|~|5|~|2026-08-24 11:50:02.744398+00
66|~|2026-08-24|~|NSSC|~|2026-08-24 12:20:00.032969+00|~||~|21.95|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:20:02.194415+00
143|~|2026-08-24|~|NSSC|~|2026-08-24 13:40:00.063109+00|~|10|~|19.45|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|3|~|t|~|t|~|prescore|~|3|~|2026-08-24 13:40:05.909542+00
131|~|2026-08-24|~|NSSC|~|2026-08-24 13:30:00.05862+00|~|1|~|20.77|~|38.09|~|349938.949111|~|pending|~|f|~|3|~|2|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:30:07.782165+00
62|~|2026-08-24|~|NSSC|~|2026-08-24 12:15:00.019043+00|~||~|22.26|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:15:03.181709+00
70|~|2026-08-24|~|NSSC|~|2026-08-24 12:25:00.018514+00|~||~|21.55|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:25:02.985528+00
136|~|2026-08-24|~|NSSC|~|2026-08-24 13:31:00.026922+00|~|1|~|20.77|~|38.09|~|349938.949111|~|pending|~|f|~|3|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:31:04.536381+00
116|~|2026-08-24|~|NSSC|~|2026-08-24 13:15:00.065684+00|~||~|19.45|~|38.09|~|349938.949111|~|pending|~|f|~|3|~|2|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:15:03.028907+00
74|~|2026-08-24|~|NSSC|~|2026-08-24 12:30:00.034716+00|~||~|22.18|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:30:02.608618+00
19|~|2026-08-24|~|NSSC|~|2026-08-24 11:25:00.023042+00|~||~|9.45|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|5|~|t|~|t|~|prescore|~|5|~|2026-08-24 11:25:27.91153+00
36|~|2026-08-24|~|NSSC|~|2026-08-24 11:45:00.022675+00|~||~|20.32|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 11:45:02.251858+00
121|~|2026-08-24|~|NSSC|~|2026-08-24 13:20:00.055551+00|~||~|19.56|~|38.09|~|349938.949111|~|pending|~|f|~|3|~|3|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:20:15.905817+00
126|~|2026-08-24|~|NSSC|~|2026-08-24 13:25:00.043167+00|~||~|20.14|~|38.09|~|349938.949111|~|pending|~|f|~|3|~|2|~|t|~|t|~|prescore|~|5|~|2026-08-24 13:25:03.397034+00
41|~|2026-08-24|~|NSSC|~|2026-08-24 11:50:00.021621+00|~||~|19.35|~|38.09|~|349938.949111|~|pending|~|f|~|3|~|2|~|t|~|t|~|prescore|~|5|~|2026-08-24 11:50:02.744398+00
139|~|2026-08-24|~|NSSC|~|2026-08-24 13:35:00.087859+00|~|5|~|19.27|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|3|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:35:06.147887+00
58|~|2026-08-24|~|NSSC|~|2026-08-24 12:10:00.024705+00|~||~|22.12|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 12:10:02.34655+00
146|~|2026-08-24|~|NSSC|~|2026-08-24 13:45:00.061999+00|~|15|~|20.82|~|38.09|~|349938.949111|~|pending|~|f|~|2|~|2|~|t|~|t|~|prescore|~|4|~|2026-08-24 13:45:08.235877+00
