ticker|alert_date|ruleset|score_tier_stored|score_lo|score_hi|admit|status|reason|entered|entry_px|stop|target|partial_fired|final_reason|realized_r|gap_through|day0_missing_minutes|sessions_abstained
HGTY|2026-08-05|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|abstain|no_930_bar_for_orb|False||||False|||False||0
KMT|2026-08-05|era_c_partial_8r|HIGH|105.0|105.0|admit|no_entry|never_crossed_orb_high|False||36.9||False|||False|8|0
KMT|2026-08-05|era_c_partial_8r|HIGH|105.0|105.0|admit|no_entry|never_crossed_orb_high|False||36.9||False|||False|8|0
KODK|2026-08-05|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|setup:zero_range|False||||False|||False||0
KTOS|2026-08-05|era_c_partial_8r|HIGH|78.0|87.0|admit|settled||True|59.93|54.07|83.37|False|stop_hit|-1.0|False|0|0
PRGO|2026-08-05|era_c_partial_8r|MODERATE|52.5|60.0|reject|settled||True|12.98|12.259999999999998|15.86000000000001|False|stop_hit|-1.0|False|0|0
ROCK|2026-08-05|era_c_partial_8r|MODERATE|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||47.28000000000001||False|||False||0
TATT|2026-08-05|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|51.22|47.34|66.73999999999998|False|stop_hit|-1.0|False|149|0
AEVA|2026-08-06|era_c_partial_8r|HIGH|52.5|60.0|reject|settled||True|26.09|19.930000000000003|50.72999999999999|False|stop_hit|-0.5892857142857144|True|4|0
CAI|2026-08-06|era_c_partial_8r|HIGH|40.5|48.0|reject|no_trade|window_out_of_orb|False||16.89||False|||False||0
DCTH|2026-08-06|era_c_partial_8r|HIGH|30.0|37.5|reject|no_trade|window_out_of_orb|False||13.65||False|||False||0
INSM|2026-08-06|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|129.41|122.89000000000001|155.48999999999992|False|stop_hit|-1.0|False|0|0
LFST|2026-08-06|era_c_partial_8r|HIGH|105.0|105.0|admit|no_entry|never_crossed_orb_high|False||9.210199999999999||False|||False|0|0
RDW|2026-08-06|era_c_partial_8r|HIGH|78.0|87.0|admit|no_entry|never_crossed_orb_high|False||11.71||False|||False|0|0
SITM|2026-08-06|era_c_partial_8r|HIGH|105.0|105.0|admit|no_entry|never_crossed_orb_high|False||587.73||False|||False|20|0
SOUN|2026-08-06|era_c_partial_8r|MODERATE|45.0|52.5|reject|no_trade|window_out_of_orb|False||6.83||False|||False||0
TASK|2026-08-06|era_c_partial_8r|MODERATE|30.0|37.5|reject|no_trade|window_out_of_orb|False||6.879999999999999||False|||False||0
TRUP|2026-08-06|era_c_partial_8r|MODERATE|30.0|37.5|reject|no_trade|window_out_of_orb|False||24.85||False|||False||0
U|2026-08-06|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|36.61|32.989999999999995|51.09000000000002|False|stop_hit|2.576519337016571|False|0|0
ACMR|2026-08-07|era_c_partial_8r|HIGH|72.6|81.6|admit|no_entry|never_crossed_orb_high|False||74.58||False|||False|12|0
ACMR|2026-08-07|era_c_partial_8r|HIGH|72.6|81.6|admit|no_entry|never_crossed_orb_high|False||74.58||False|||False|12|0
CRSR|2026-08-07|era_c_partial_8r|MODERATE|52.5|60.0|reject|settled||True|12.69|11.53|17.33|False|stop_hit|-0.5525862068965517|False|0|0
DOCS|2026-08-07|era_c_partial_8r|MODERATE|48.0|55.5|reject|abstain|entry_window_gaps:8_of_29|False||36.760000000000005||False|||False|8|0
FIGS|2026-08-07|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|15.5|14.879999999999999|17.980000000000004|False|stop_hit|-1.0|False|0|0
FROG|2026-08-07|era_c_partial_8r|HIGH|78.0|87.0|admit|no_entry|never_crossed_orb_high|False||83.98500000000001||False|||False|3|0
INOD|2026-08-07|era_c_partial_8r|MODERATE|63.0|70.5|abstain_float_band_straddles_bar|no_entry|never_crossed_orb_high|False||70.86000000000001||False|||False|3|0
MTW|2026-08-07|era_c_partial_8r|HIGH|30.0|37.5|reject|no_trade|setup:zero_range|False||||False|||False||0
NET|2026-08-07|era_c_partial_8r|HIGH|105.0|114.0|admit|settled||True|318.5|304.0|378.5|False|stop_hit|-1.0|False|0|0
ONTO|2026-08-07|era_c_partial_8r|HIGH|105.0|105.0|admit|no_trade|window_out_of_orb|False||282.11||False|||False||0
PRAA|2026-08-07|era_c_partial_8r|MODERATE|52.5|60.0|reject|no_trade|window_out_of_orb|False||19.909999999999997||False|||False||0
PSIX|2026-08-07|era_c_partial_8r|MODERATE|30.0|37.5|reject|no_trade|window_out_of_orb|False||36.190000000000005||False|||False||0
PUBM|2026-08-07|era_c_partial_8r|MODERATE|52.5|60.0|reject|settled||True|17.89|16.25|24.450000000000003|False|stop_hit|-0.795121951219511|False|8|0
QNST|2026-08-07|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|19.8|18.62|24.52|False|stop_hit|0.38432203389830366|False|3|0
TEAM|2026-08-07|era_c_partial_8r|HIGH|81.6|90.6|admit|settled||True|146.8|139.62|175.52000000000004|True|stop_hit|3.0337975858867203|False|0|0
TWLO|2026-08-07|era_c_partial_8r|HIGH|70.5|78.0|admit|abstain|day0_fill_bar_straddles_stop|True|237.0|230.01999999999998|264.9200000000001|False|||False|0|0
WLDN|2026-08-07|era_c_partial_8r|MODERATE|52.5|60.0|reject|settled||True|86.7475|84.1325|97.20750000000004|False|stop_hit|-1.0|False|113|0
ABCL|2026-08-10|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|8.96|7.84|13.440000000000005|False|stop_hit|1.5191964285714266|False|0|0
ACHR|2026-08-10|era_c_partial_8r|HIGH|45.0|52.5|reject|no_trade|window_out_of_orb|False||6.02||False|||False||0
NESR|2026-08-10|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||30.990000000000002||False|||False||0
SLN|2026-08-10|era_c_partial_8r|MODERATE|52.5|60.0|reject|no_entry|never_crossed_orb_high|False||15.5||False|||False|2|0
TH|2026-08-10|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|settled||True|16.09|14.95|20.650000000000002|False|stop_hit|-0.026315789473685198|True|36|0
BW|2026-08-11|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|12.08|10.92|16.72|False|stop_hit|-1.0|False|0|0
FRMI|2026-08-11|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|7.24|6.859999999999999|8.760000000000003|False|stop_hit|-1.0|False|0|0
RIOT|2026-08-11|era_c_partial_8r|HIGH|123.0|123.0|admit|no_entry|never_crossed_orb_high|False||22.06||False|||False|0|0
RPD|2026-08-11|era_c_partial_8r|none|67.5|75.0|admit|no_trade|window_out_of_orb|False||12.434999999999999||False|||False||0
SE|2026-08-11|era_c_partial_8r|HIGH|81.6|90.6|admit|no_entry|never_crossed_orb_high|False||120.1594||False|||False|0|0
ATRO|2026-08-12|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|85.25|73.75|131.25|False|stop_hit|-0.2642608695652175|False|9|0
BE|2026-08-12|era_c_partial_8r|HIGH|75.0|82.5|admit|no_trade|window_out_of_orb|False||230.52||False|||False||0
BRUN|2026-08-12|era_c_partial_8r|none|52.5|60.0|reject|no_entry|never_crossed_orb_high|False||19.270000000000003||False|||False|12|0
CRWV|2026-08-12|era_c_partial_8r|HIGH|52.5|60.0|reject|no_trade|window_out_of_orb|False||105.77||False|||False||0
EROC|2026-08-12|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|13.16|12.34|16.44|True|stop_hit|1.4349593495934958|False|2|0
GLBE|2026-08-12|era_c_partial_8r|HIGH|105.0|105.0|admit|settled||True|42.34|39.67999999999999|52.98000000000005|False|stop_hit|-1.0|False|6|0
HRB|2026-08-12|era_c_partial_8r|MODERATE|72.6|81.6|admit|no_trade|window_out_of_orb|False||54.27||False|||False||0
MRX|2026-08-12|era_c_partial_8r|HIGH|60.0|69.0|abstain_float_band_straddles_bar|no_trade|window_out_of_orb|False||60.932||False|||False||0
NBIS|2026-08-12|era_c_partial_8r|MODERATE|87.0|96.0|admit|settled||True|228.44|207.8|310.99999999999994|False|stop_hit|-0.16705426356589057|False|0|0
WYFI|2026-08-12|era_c_partial_8r|MODERATE|52.5|60.0|reject|settled||True|28.31|26.210000000000004|36.70999999999998|False|stop_hit|-2.9428571428571506|True|7|0
BLSH|2026-08-13|era_c_partial_8r|MODERATE|30.0|37.5|reject|no_trade|window_out_of_orb|False||22.660000000000004||False|||False||0
CGEM|2026-08-13|era_c_partial_8r|HIGH|105.0|105.0|admit|no_entry|never_crossed_orb_high|False||18.9||False|||False|40|0
