ticker	d	tick	rt_gap	open_gap	hi_gap	prev_close	tailx	fwd_n	adr_pct
WATT	2026-08-04	09:40	11.87	0.19	12.99	16.09	1.4775997628189792	9	8.151610625729688
ARVN	2026-08-04	09:40	14.52	3.35	19.73	8.06	0.805339298716863	9	3.587169896578643
NGL	2026-08-05	07:10	10.41	7.26	13.56	15.85	1.993659438098648	8	4.838869989113993
OSPN	2026-08-05	07:20	11.04	8.39	14.00	16.21	1.2309432158981939	8	3.339251879993062
AMWL	2026-08-05	09:31	14.97	7.29	36.18	10.42	1.1354893664389163	8	7.508080545797384
RIGL	2026-08-05	09:31	10.03	9.77	12.38	38.7	1.5797728086731189	8	4.347200366472028
WYNN	2026-08-05	09:40	10.76	4.60	11.93	97.6	2.180187563328632	8	2.3443950625826817
ZETA	2026-08-05	09:45	16.41	1.61	17.48	24.26	1.7642478196575113	8	5.904746578257333
AXTI	2026-08-05	09:45	13.27	-2.69	17.91	65.27	3.0938090807766345	8	13.746886861575568
BVS	2026-08-05	09:45	11.62	-5.44	18.43	13.42	-0.3370443499973639	8	4.666267769895532
PN	2026-08-06	07:55	12.84	5.95	123.51	6.89	-2.325716983001318	7	24.325481638343888
ZVRA	2026-08-06	09:35	12.58	7.36	17.00	10.53	0.14742897117453974	7	5.161419461049342
SGHT	2026-08-06	09:35	21.53	4.32	29.19	5.55	3.164041961479647	7	6.731137739633473
AVNT	2026-08-06	09:40	13.57	5.49	15.93	37.92	3.200774133116688	7	2.922798202097731
ADMA	2026-08-06	09:40	11.16	4.75	11.77	9.26	0.3919983720505398	7	3.169770132234474
SDGR	2026-08-06	09:40	10.24	5.26	12.07	16.4	1.8940081805401094	7	4.239262091255753
SBGI	2026-08-06	09:45	11.75	4.31	17.18	13.91	0.44979258782287856	7	3.464409207359928
PKOH	2026-08-06	09:45	11.06	3.92	15.36	41.61	3.745224095888972	7	3.8980340272318323
OESX	2026-08-06	09:50	12.05	3.24	24.10	16.06	2.420950900071086	7	7.565733153191645
MAKO	2026-08-07	07:50	12.95	3.70	10.80	8.66	1.5286152918734437	6	5.074405220481712
FRD	2026-08-07	07:50	29.9	7.13	21.63	37.72	1.4892065215136334	6	6.789919159251307
GRDN	2026-08-07	09:31	11.58	9.32	19.13	39.47	0.1785753632893606	6	3.8329066461085275
HBB	2026-08-07	09:35	21.3	5.41	22.81	27.0	1.481886123133543	6	6.099543433452186
KRT	2026-08-07	09:35	15.08	5.76	18.01	42.37	2.3819882574868005	6	3.3163698522089198
ICUI	2026-08-07	09:35	10.08	9.61	15.92	166.37	0.29504524396376147	6	2.956648360518983
YELP	2026-08-07	09:40	13.6	8.27	16.73	25.04	-0.3158052507414129	6	4.212100463043579
HALO	2026-08-07	09:40	11.5	4.94	20.45	85.76	0.5691597785521479	6	2.828335873434149
ALOY	2026-08-07	09:40	11.81	2.90	16.74	10.69	2.1626261797236572	6	11.607125968407122
CENX	2026-08-07	09:40	12.93	4.13	14.78	45.95	1.8798124169948158	6	4.485851338780895
PDFS	2026-08-07	09:40	10.61	2.35	12.07	45.9	1.1834542172296714	6	6.800883173528469
BAND	2026-08-07	09:45	12.18	2.93	20.03	44.69	1.1745032994511562	6	8.486970095496213
TSEM	2026-08-07	09:45	11.55	2.47	13.78	224.7	1.069204211946134	6	9.404942552519211
AIRJ	2026-08-07	09:45	10.99	3.58	12.70	5.59	1.2781934549361544	6	9.647272901813619
RDW	2026-08-07	09:45	11.83	4.99	15.63	11.83	0.5466222660854982	6	8.076895712910881
TILE	2026-08-07	09:50	11.0	7.55	15.38	35.1	1.1453795439086534	6	2.781794485303697
CARS	2026-08-07	09:50	11.24	1.19	13.63	11.74	0.513662932293004	6	4.424549894191814
FCUV	2026-08-10	09:35	22.12	2.12	32.50	5.2	0.03525459061563156	5	22.022593425994856
STDN	2026-08-10	09:40	11.08	4.86	40.28	8.44	1.8113191163885358	5	11.306869761200625
CLRO	2026-08-10	09:40	14.65	4.62	38.47	10.17	-0.8772788873368693	5	20.944496756861845
TNXP	2026-08-10	09:45	12.3	-3.41	15.47	12.03	0.267547871634667	5	7.421860344872414
LFST	2026-08-10	09:45	11.16	0.09	14.62	10.84	1.861383403894291	5	3.8599645481677824
ELOX	2026-08-11	09:35	11.65	8.18	17.41	17.0	0.26003925825223684	4	13.53369084231259
HPK	2026-08-11	09:40	14.27	3.79	15.26	7.92	-0.2902577747989969	4	5.839344890627035
VATE	2026-08-11	09:45	11.5	0.14	16.55	7.13	0.706154622547671	4	12.100361633133424
ALMR	2026-08-11	09:45	12.5	3.61	37.69	27.99	0.6557308337806872	4	7.130919676112009
KRNT	2026-08-12	07:15	10.24	8.08	10.07	17.58	1.6096195894366951	3	3.5923475106274347
DBGI	2026-08-12	08:40	12.97	-0.51	12.66	15.8	0.05212304073392029	3	28.0862798309389
BUUU	2026-08-12	09:20	10.48	-3.02	11.00	28.83	2.090356364143804	3	12.483040542313944
ANTX	2026-08-12	09:31	19.76	3.75	22.49	5.87	0.18378037998276345	3	7.3647860823898545
ZTG	2026-08-12	09:35	15.43	-0.11	32.15	9.27	0.7155081308112448	3	20.643314094962907
CEPL	2026-08-12	09:40	11.32	5.42	16.97	7.6	-0.34236805368654954	3	12.730023914223343
KGEI	2026-08-13	07:20	10.52	1.66	10.15	5.42	2.535978239373199	2	4.1544971175771375
RRGB	2026-08-13	09:31	10.42	4.17	34.19	8.16	1.4261862559010945	2	5.701438432510762
STEM	2026-08-13	09:35	12.84	5.50	28.82	5.45	0.8103572035551555	2	7.119367538068769
COLL	2026-08-13	09:40	11.52	8.05	14.01	25.7	0.659571413048049	2	4.631889900813747
