ticker|ep_date|fire_date|mon|variant|entry|stop|stop_w|mature|derived_touch|pre_fire_hole|status|reason|outcome|realized_r|outcome_trail|realized_r_trail|mfe_r|mae_r|reached_4r
CLF|2026-07-23|2026-07-24|2026-07|b_break_bar|11.465|11.26|1.7880505887483653|True|True|False|settled||stop|-1.0|stop|-1.0|2.2927|-1.0|False
CLF|2026-07-23|2026-07-24|2026-07|c_lod_at_fire|11.465|11.26|1.7880505887483653|True|True|False|settled||stop|-1.0|stop|-1.0|2.2927|-1.0|False
CLF|2026-07-23|2026-07-24|2026-07|d_adr_025|11.465|11.336032824818407|1.1248772366471265|True|True|False|settled||stop|-1.0|stop|-1.0|3.6443|-1.2019|False
CLF|2026-07-23|2026-07-24|2026-07|d_adr_050|11.465|11.207065649636814|2.249754473294253|True|True|False|settled||stop|-1.0|stop|-1.0|1.8222|-1.4535|False
CLF|2026-07-23|2026-07-24|2026-07|d_adr_075|11.465|11.07809847445522|3.3746317099413803|True|True|False|settled||stop|-1.0|stop|-1.0|1.2148|-1.0726|False
CLF|2026-07-23|2026-07-24|2026-07|d_adr_100|11.465|10.94913129927363|4.499508946588491|True|True|False|settled||stop|-1.0|stop|-1.0|1.9385|-1.1631|False
CLF|2026-07-23|2026-07-24|2026-07|e_ep_close|11.465|10.96|4.404709986916695|True|True|False|settled||stop|-1.0|stop|-1.0|1.9802|-1.1881|False
CLF|2026-07-23|2026-07-24|2026-07|f_ep_low|11.465|10.6|7.544701264718712|True|True|False|settled||stop|-1.0|trail_exit|0.5029|1.6069|-1.2081|False
CRSR|2026-05-27|2026-05-28|2026-05|a_prior_low|9.9|8.4|15.151515151515152|True|True|False|settled||stop|-1.0|trail_exit|0.0133|2.1333|-1.2333|False
CRSR|2026-05-27|2026-05-28|2026-05|b_break_bar|9.9|10.58|-6.868686868686866|True|True|False|killed_entry_le_stop||||||||
CRSR|2026-05-27|2026-05-28|2026-05|c_lod_at_fire|9.9|10.58|-6.868686868686866|True|True|False|killed_entry_le_stop||||||||
CRSR|2026-05-27|2026-05-28|2026-05|d_adr_025|9.9|9.76482825348313|1.3653711769380923|True|True|False|settled||stop|-1.0|stop|-1.0|23.6736|-1.4056|True
CRSR|2026-05-27|2026-05-28|2026-05|d_adr_050|9.9|9.629656506966258|2.7307423538761846|True|True|False|settled||stop|-1.0|trail_exit|0.074|11.8368|-3.3291|True
CRSR|2026-05-27|2026-05-28|2026-05|d_adr_075|9.9|9.494484760449385|4.096113530814295|True|True|False|settled||stop|-1.0|trail_exit|0.0493|7.8912|-2.2194|True
CRSR|2026-05-27|2026-05-28|2026-05|d_adr_100|9.9|9.359313013932514|5.461484707752387|True|True|False|settled||stop|-1.0|trail_exit|0.037|5.9184|-1.6645|True
CRSR|2026-05-27|2026-05-28|2026-05|e_ep_close|9.9|9.82|0.8080808080808087|True|True|False|settled||stop|-1.0|stop|-1.0|40.0|-2.375|True
CRSR|2026-05-27|2026-05-28|2026-05|f_ep_low|9.9|8.4|15.151515151515152|True|True|False|settled||stop|-1.0|trail_exit|0.0133|2.1333|-1.2333|False
DCTH|2026-08-06|2026-08-07|2026-08|a_prior_low|15.62|14.0|10.371318822023042|False|False|False|abstain|window_open|||||||
DCTH|2026-08-06|2026-08-07|2026-08|b_break_bar|15.62|15.65|-0.19206145966710075|False|False|False|killed_entry_le_stop||||||||
DCTH|2026-08-06|2026-08-07|2026-08|c_lod_at_fire|15.62|15.65|-0.19206145966710075|False|False|False|killed_entry_le_stop||||||||
DCTH|2026-08-06|2026-08-07|2026-08|d_adr_025|15.62|15.456478381503743|1.0468733578505522|False|False|False|settled||stop|-1.0|stop|-1.0|4.6171|-1.0396|True
DCTH|2026-08-06|2026-08-07|2026-08|d_adr_050|15.62|15.292956763007485|2.0937467157011156|False|False|False|settled||stop|-1.0|stop|-1.0|2.3086|-1.009|False
DCTH|2026-08-06|2026-08-07|2026-08|d_adr_075|15.62|15.129435144511229|3.1406200735516676|False|False|False|settled||stop|-1.0|stop|-1.0|1.539|-1.0192|False
DCTH|2026-08-06|2026-08-07|2026-08|d_adr_100|15.62|14.96591352601497|4.187493431402231|False|False|False|settled||stop|-1.0|stop|-1.0|1.1543|-1.0014|False
DCTH|2026-08-06|2026-08-07|2026-08|e_ep_close|15.62|15.47|0.9603072983354582|False|False|False|settled||stop|-1.0|stop|-1.0|5.0333|-1.1333|True
DCTH|2026-08-06|2026-08-07|2026-08|f_ep_low|15.62|14.0|10.371318822023042|False|False|False|abstain|window_open|||||||
DELL|2026-05-29|2026-06-01|2026-05|a_prior_low|429.151|402.27|6.263762638325445|True|True|False|settled||stop|-1.0|stop|-1.0|1.4999|-1.1216|False
DELL|2026-05-29|2026-06-01|2026-05|b_break_bar|429.151|426.15|0.6992876633166492|True|True|False|settled||stop|-1.0|stop|-1.0|13.4352|-7.3812|True
DELL|2026-05-29|2026-06-01|2026-05|c_lod_at_fire|429.151|426.15|0.6992876633166492|True|True|False|settled||stop|-1.0|stop|-1.0|13.4352|-7.3812|True
DELL|2026-05-29|2026-06-01|2026-05|d_adr_025|429.151|423.3432398844973|1.3533138954593442|True|True|False|settled||stop|-1.0|stop|-1.0|6.9423|-3.814|True
DELL|2026-05-29|2026-06-01|2026-05|d_adr_050|429.151|417.5354797689945|2.706627790918702|True|True|False|settled||stop|-1.0|stop|-1.0|3.4711|-1.907|False
DELL|2026-05-29|2026-06-01|2026-05|d_adr_075|429.151|411.72771965349176|4.059941686378046|True|True|False|settled||stop|-1.0|stop|-1.0|2.3141|-1.2713|False
DELL|2026-05-29|2026-06-01|2026-05|d_adr_100|429.151|405.919959537989|5.413255581837404|True|True|False|settled||stop|-1.0|stop|-1.0|1.7356|-1.2979|False
DELL|2026-05-29|2026-06-01|2026-05|e_ep_close|429.151|420.91|1.9203031100941126|True|True|False|settled||stop|-1.0|stop|-1.0|4.8925|-2.6879|True
DELL|2026-05-29|2026-06-01|2026-05|f_ep_low|429.151|402.27|6.263762638325445|True|True|False|settled||stop|-1.0|stop|-1.0|1.4999|-1.1216|False
