=== CONTROL_TICK ===
scan_date|ticker|dist_sec|minutes_since_open|gap_pct|prev_close|rel_volume|today_volume|adv|market_cap|float_shares|ep_score|filter_reason
2026-06-17|ACMR|1140.067935|20|11.87|91.18|0.1||1957203.9750164999||||filter:session_rvol_too_low: session_rvol=0.90x (today 192,711 / baseline 215,365 n=20) < 1.0x
2026-06-17|AEHR|1140.067935|20|15.87|104.83|0.13||2485199.173263|||70|
2026-06-17|JBL|240.074971|5|10.77|375.51|0.12||1233258.2385145|||60|
2026-06-17|LZB|0.022097|1|18.37|35.06|0.16||381953.760026|||30|score 30 < 50 (catalyst=routine)
2026-06-17|QURE|0.022097|1|67.84|26.99|2.33||1450821.3110004999||||already scored earlier today
2026-06-18|BFLY|0.023146|1|23.85|5.71|0.27||4653325.134958999|||10|score 10 < 50 (catalyst=routine)
2026-06-18|CHRN|1140.073286|20|11.6|20.61|0.11||390766.286635||||filter:session_rvol_too_low: session_rvol=0.94x (today 44,219 / baseline 47,258 n=20) < 1.0x
2026-06-18|SWBI|0.023146|1|12.16|13.73|0.18||554048.1371919999||||already scored earlier today
2026-06-18|UUUU|0.023146|1|16.84|15.3|0.23||9578939.4043275||||already scored earlier today
2026-06-18|WDC|1140.073286|20|10.31|712.13|0.22||7415599.688335|||12|score 12 < 50 (catalyst=routine)
2026-06-22|BWIN|0.021432|1|12.15|20.24|0.01||1541697.1938105||||filter:session_rvol_too_low: session_rvol=0.78x (today 19,183 / baseline 24,664 n=22) < 1.0x
2026-06-22|DFTX|0.021432|1|61.44|24.48|1.41||2201942.2203545||||already scored earlier today
2026-06-22|FRVO|0.021432|1|10.35|35.09|0.05||2907402.1473915|||20|score 20 < 50 (catalyst=routine)
2026-06-22|JBIO|1140.098241|20|10.11|16.82|0.31||1086309.3768495|||66|
2026-06-22|KEEL|0.021432|1|11.44|6.29|0.08||49861142.7186765|||15|score 15 < 50 (catalyst=routine)
2026-06-22|MLTX|3959.977975||10.62|19.21|0.14||845066.744123||||already scored earlier today
2026-06-22|NUAI|1140.098241|20|13.12|6.25|0.22||7862928.025641|||12|score 12 < 50 (catalyst=routine)
2026-06-22|PENG|0.021432|1|13.18|67.15|0.07||3357964.848355|||-5|score -5 < 50 (catalyst=routine)
