ticker	d	scan_n	reasons	max_score
FLS	2026-07-30	2	outside top-20 gap cap (gap 10.0%) ;; outside top-20 gap cap (gap 12.2%)	""
FMC	2026-07-30	0	""	""
FRMI	2026-07-30	0	""	""
FRVO	2026-07-30	2	outside top-20 gap cap (gap 13.5%) ;; outside top-20 gap cap (gap 14.5%)	""
HII	2026-07-30	29	outside top-20 gap cap (gap 11.3%) ;; outside top-20 gap cap (gap 12.7%) ;; score 28 < 50 (catalyst=routine)	28
HIPO	2026-07-30	1	outside top-20 gap cap (gap 11.2%)	""
IESC	2026-07-30	0	""	""
MKTX	2026-07-30	22	score 30 < 50 (catalyst=routine) ;; score 38 < 50 (catalyst=routine) ;; score 45 < 50 (catalyst=routine)	45
NPKI	2026-07-30	7	score 15 < 50 (catalyst=routine)	15
PBF	2026-07-30	2	outside top-20 gap cap (gap 10.2%) ;; outside top-20 gap cap (gap 11.5%)	""
PGY	2026-07-30	28	EP cooldown — alerted within last 60 days ;; outside top-20 gap cap (gap 10.1%) ;; outside top-20 gap cap (gap 10.2%) ;; outside top-20 gap cap (gap 10.7%) ;; outside top-20 gap cap (gap 11.1%) ;; outside top-20 gap cap (gap 11.4%)	""
PLPC	2026-07-30	3	filter:session_rvol_too_low: session_rvol=0.32x (today 1,663 / baseline 5,199 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.36x (today 2,775 / baseline 7,805 n=21) < 1.0x ;; filter:session_rvol_too_low: session_rvol=0.63x (today 6,519 / baseline 10,384 n=21) < 1.0x	""
PN	2026-07-30	24	already up 166% in prior 5 days (extended)	""
PWR	2026-07-30	35	already scored earlier today ;; filter:session_rvol_too_low: session_rvol=0.94x (today 50,117 / baseline 53,136 n=21) < 1.0x ;; <none> ;; outside top-20 gap cap (gap 11.4%) ;; outside top-20 gap cap (gap 14.7%) ;; pre-mkt volume 3,467 < 25,000 shares	60
QMCO	2026-07-30	11	outside top-20 gap cap (gap 10.1%) ;; quality filter: filter:mcap_too_small: $411M < $500M	""
RACC	2026-07-30	0	""	""
