=== SECTYPE_COVERAGE ===
security_type|n|first_seen|last_seen
ETF|5612|2026-03-24|2026-08-31
CS|5598|2026-03-24|2026-08-31
WARRANT|523|2026-03-24|2026-08-31
PFD|453|2026-03-24|2026-08-31
ADRC|389|2026-03-24|2026-08-31
FUND|345|2026-03-30|2026-08-31
UNIT|341|2026-03-24|2026-08-31
SP|174|2026-03-30|2026-08-31
RIGHT|152|2026-03-24|2026-08-31
ETS|116|2026-06-15|2026-08-31
ETV|91|2026-08-17|2026-08-31
ETN|52|2026-08-17|2026-08-31
(12 rows)
=== BUCKET_MONTH ===
skip_category|mon|pre_sectype_filter|cls|n|sessions|n20|tail20|lose20|n5|tail5_20|tail5_10|lose5|day0_red|tail20_day0red|tail5_day0red|gap_gt100
UP|2026-05-18|scan_filter|atr_high|quality filter: filter:atr_too_high: 17.4% > 15.0%||CS|CS|0.11371769383697813|5.602|5.63|0.07640128525526596|0.5458764726883255|0.344162799000357|0.7799357372367011
CTEV|2026-05-20|scan_filter|atr_high|quality filter: filter:atr_too_high: 23.8% > 15.0%||CS|CS|0.11543209876543216|18.07|21.24|0.3032650802434975|0.359158826784726|0.6281128942999448|0.8605976757055894
FCEL|2026-06-09|scan_filter|atr_high|quality filter: filter:atr_too_high: 22.9% > 15.0%||CS|CS|0.16451612903225812|18.05|17.49|-0.10193905817174514|0.0941828254847645|0.27423822714681434|1.0986149584487535
SDOT|2026-06-17|scan_filter|atr_high|quality filter: filter:atr_too_high: 104.3% > 15.0%||CS|CS|0.26874279123414074|11|17.18|0.4709090909090909|-0.43818181818181823|1.3|8.636363636363637
SDOT|2026-06-26|scan_filter|atr_high|quality filter: filter:atr_too_high: 168.9% > 15.0%||CS|CS|0.8608414239482202|11.5|21.45|2.117391304347826|3.242608695652174||8.217391304347826
BE|2026-07-29|scan_filter|atr_high|quality filter: filter:atr_too_high: 15.1% > 15.0%||CS|CS|0.09985614960441139|183.5|163.75|0.12871934604904633|0.2770027247956404|0.18915531335149868|0.3804359673024523
AXTI|2026-07-30|scan_filter|atr_high|quality filter: filter:atr_too_high: 19.4% > 15.0%||CS|CS|0.11536380849337302|41.235|46.94|0.4655026070086092|0.822965927003759|0.6228931732751304|1.3715290408633445
BE|2026-07-30|scan_filter|atr_high|quality filter: filter:atr_too_high: 15.6% > 15.0%||CS|CS|0.13740458015267176|186.25|207.12|0.10502013422818793|0.22931543624161077|0.16955704697986584|0.3600536912751678
NBIS|2026-07-30|scan_filter|atr_high|quality filter: filter:atr_too_high: 15.6% > 15.0%||CS|CS|0.16165159897449743|172.18|188.43|0.10587756998489946|0.1027993959809501|0.26890463468463227|0.6310256708096177
AXTI|2026-07-31|scan_filter|atr_high|quality filter: filter:atr_too_high: 15.8% > 15.0%||CS|CS|0.4210694503621645|66.705|60.43|0.029458061614571672|0.32793643654898436|-0.1210553931489393|0.4660070459485797
REPL|2026-07-31|scan_filter|atr_high|quality filter: filter:atr_too_high: 20.0% > 15.0%||CS|CS|1.1033271719038815|11.379|11.2|0.046664909042973955|0.05984708673872932|0.3621583618947184|0.41928113190965804
MF|2026-08-14|scan_filter|atr_high|quality filter: filter:atr_too_high: 15.1% > 15.0%||CS|CS|0.30399999999999994|13.04|13|-0.11042944785276071|0.2561349693251534||0.7300613496932515
FET|2026-07-31|high_unentered|breaker_blocked|block:circuit_breaker: cooldown until 2026-07-31T13:37:50.539792+00:00|84|CS|CS|0.1942446043165468|61.42|62.67|0.14539238033213925|0.20856398567241943|0.3124389449690654|0.4233148811462064
STUB|2026-05-14|high_unentered|cap_blocked|block:max_positions: 5/5 (mode=paper)|54|CS|CS|0.18351063829787245|8.9|8.55|-0.008988764044943828|0.10561797752808982|0.2876404494382023|0.28876404494382024
NVTS|2026-04-21|scan_filter|catalyst_downgrade|routine catalyst, gap 11.3%||CS|CS|0.0943181818181819|14.445|15.33|0.2786431291104187|0.046728971962616744|0.3451021114572516|0.6490134994807892
OUST|2026-05-04|scan_filter|catalyst_downgrade|routine catalyst, gap 8.5%||CS|CS|0.13119092627599252|29.92|28.15|-0.04411764705882354|-0.10427807486631019|0.5384358288770053|0.650735294117647
BIRK|2026-05-21|scan_filter|catalyst_downgrade|routine catalyst, gap 11.8%||CS|CS|0.1062932851550738|36.74|39.67|0.12629286880783888|0.22672836145890032||0.38078388677191055
ASST|2026-08-21|scan_filter|catalyst_downgrade|routine catalyst, gap 9.9%||CS|CS|0.09485430874147559|17.66|18.22|0.1172140430351076|0.23103057757644385||0.39750849377123443
VCX|2026-05-06|scan_filter|cooldown|EP cooldown — alerted within last 60 days||CS|CS|0.14972058930256185|158.42|158.98|-0.0901401338214872|0.5528973614442622|0.0478474940032825|0.9567605100366118
HIMX|2026-05-07|scan_filter|cooldown|EP cooldown — alerted within last 60 days||ADRC|CS|0.251419302514193|15.43|16.03|0.152948801036941|0.3402462734931951|0.3013609850939727|0.626053143227479
TE|2026-05-18|scan_filter|cooldown|EP cooldown — alerted within last 60 days||CS|CS|0.18165784832451504|6.7|7|0.026865671641791003|0.5597014925373133|0.2880597014925374|0.8641791044776119
AEHR|2026-07-09|scan_filter|cooldown|EP cooldown — alerted within last 60 days||CS|CS|0.16585653262630734|79.15|76.21|-0.08275426405559079|0.06380290587492099|0.2601389766266581|0.4024005053695514
IREN|2026-07-30|scan_filter|cooldown|EP cooldown — alerted within last 60 days||CS|CS|0.10900716479017414|32.505|38.26|0.13213351792031977|0.16689740039993836|0.24688509460083058|0.5131518227964929
AVAT|2026-08-24|scan_filter|d1_universe_floor|filter:universe_prev_close_too_low: prior close $0.49 < $5.00 floor||CS|CS|0.10159118727050186|0.54|0.538|-0.04611111111111117|0.34055555555555544||0.42222222222222217
BTCT|2026-08-24|scan_filter|d1_universe_floor|filter:universe_prev_close_too_low: prior close $1.14 < $5.00 floor||CS|CS|0.4298245614035088|1.63|1.74|0.22699386503067492|0.2852760736196321||0.687116564417178
DAIC|2026-08-24|scan_filter|d1_universe_floor|filter:universe_prev_close_too_low: prior close $0.43 < $5.00 floor||CS|CS|1.5359154929577468|1.0803|1.73|2.591594927334999|2.221327409053041||5.19272424326576
PMI|2026-08-24|scan_filter|d1_universe_floor|filter:universe_prev_close_too_low: prior close $3.21 < $5.00 floor||CS|CS|0.41121495327102814|4.53|5.13|1.1081677704194262|0.8675496688741723||1.6203090507726265
SWVL|2026-08-25|scan_filter|d1_universe_floor|filter:universe_prev_close_too_low: prior close $1.47 < $5.00 floor||CS|CS|0.5714285714285715|2.31|2.21|0|0.658008658008658||1.3809090909090909
FIVN|2026-05-01|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.1732558139534884|20.18|22.24|0.1565906838453915|0.09514370664023794|0.3012884043607533|0.33448959365708625
TWLO|2026-05-01|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.200661893826827|177.77|183.34|0.06694042864375303|0.13461213928109342|0.2799684986218146|0.30145693874106994
IART|2026-05-05|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.1483568075117371|12.23|13.22|0.14472608340147175|0.1259198691741618|0.3164349959116926|0.36549468520032696
STRL|2026-05-05|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.37386919488564474|727.45|806|0.21825555020963636|0.17032098426008657|0.31559557357894|0.3358306412811876
FLEX|2026-05-06|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.24261275272161734|119.85|134.73|0.10980392156862742|0.19983312473925754|0.3309136420525657|0.39224030037546953
HUT|2026-05-06|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.2615824121227175|101.57|108.94|-0.0038397164517080477|0.0664566308949493|0.2578517278724034|0.38623609333464626
FTNT|2026-05-07|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.1701500833796553|105.255|107.97|0.08374899054676736|0.1577597263787944|0.37456652890599035|0.4257754976010641
PCT|2026-05-07|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.22244094488188967|9.315|8.94|0.023081052066559297|0.3301127214170694|0.3435319377348364|0.5238862050456254
INOD|2026-05-08|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.5977212971078002|72.92|84.89|0.4238891936368623|0.3178826110806362||0.7161272627537026
WEST|2026-05-08|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.1644067796610169|6.87|8.25|0.27365356622998543|0.22998544395924297||0.306608442503639
AMBQ|2026-05-12|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.16356470330632797|53.14|66.37|0.3415506210011292|0.3387278885961611|0.413624388407979|0.6139612344749718
VPG|2026-05-12|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.2603603603603604|83.94|85.57|0.1865618298784846|0.16690493209435317|0.456397426733381|0.6227066952585181
ARX|2026-05-14|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.10853950518754998|13.89|14.61|0.11159107271418278|0.22318214542836556|-0.06191504679625638|0.2850971922246221
STUB|2026-05-14|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.18351063829787245|8.9|8.55|-0.008988764044943828|0.10561797752808982|0.2876404494382023|0.28876404494382024
INFQ|2026-05-21|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.20751341681574242|13.5|14.7|0.21111111111111122|0.2014814814814814|0.052592592592592656|0.5370370370370371
QBTS|2026-05-21|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.1274611398963731|21.76|25.74|0.35110294117647045|0.38511029411764697||0.44990808823529405
ASPI|2026-05-26|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.14954954954954958|6.38|6.93|0.04545454545454546|0.30564263322884017|0.10658307210031344|0.3385579937304074
KSS|2026-05-28|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.19953596287703018|15.51|15.59|-0.07414571244358481|0.029013539651837592|0.24177949709864616|0.26499032882011614
ABVX|2026-06-03|scan_filter|duplicate_scan|already scored earlier today||ADRC|CS|0.12082758620689663|81.26|90.15|0.29128722618754616|0.20637460004922464|0.7800886044794486|0.8050701452128969
DFTX|2026-06-22|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.5759803921568627|38.58|36.67|-0.062208398133748025|0.20658372213582166|0.168481078278901|0.2752721617418353
FCEL|2026-06-24|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.1507791017415215|25.11|21.56|-0.21744324970131426|0.2700119474313023|-0.0720828355236957|0.508562325766627
KC|2026-07-08|scan_filter|duplicate_scan|already scored earlier today||ADRC|CS|0.10275423728813567|10.41|10.52|0.005763688760806964|-0.03650336215177721|0.20172910662824203|0.26224783861671475
AEHR|2026-07-15|scan_filter|duplicate_scan|already scored earlier today||CS|CS|0.36307457297597545|98.155|87.79|-0.14217309357648614|-0.047017472365136724|0.31659110590392736|0.3585655341042228
