AAON|2026-06-03|COILED|23|96.54|92.74|93.59|490926
AAON|2026-06-03|COILED|24|94.19|86.54|93.31|701146
AAON|2026-06-03|COILED|25|89.5|86.36|86.47|561277
AAON|2026-06-03|COILED|26|90.81|85.6338|88.08|782799
AAON|2026-06-03|COILED|27|101|91.01|91.64|1567454
AAON|2026-06-03|COILED|28|101.9799|96.38|99.59|906527
AAON|2026-06-03|COILED|29|100.525|96.6281|98.71|621635
AAON|2026-06-03|COILED|30|98.205|95.36|96.86|669372
AAON|2026-06-03|COILED|31|100.47|94.8364|95.74|640480
AAON|2026-06-03|COILED|32|98.29|92.82|97.9|623700
AAON|2026-06-03|COILED|33|98.22|93.0975|93.98|2148973
AAON|2026-06-03|COILED|34|92.9|90|91.48|780333
AAON|2026-06-03|COILED|35|93.53|87.32|92.6|1414562
AAON|2026-06-03|COILED|36|96.205|92.51|93.81|789339
AAON|2026-06-03|COILED|37|93.79|89.79|93.54|585382
AAON|2026-06-03|COILED|38|93.67|91.01|93.17|484831
AAON|2026-06-03|COILED|39|91.59|85.77|90.77|444925
AAON|2026-06-03|COILED|40|88.87|85.47|87.37|837483
AAON|2026-06-04|COILED|1|145.765|138.2|143.65|1019788
AAON|2026-06-04|COILED|2|150.4599|141.13|148.25|1164621
AAON|2026-06-04|COILED|3|148.5|140|143.5|1222613
AAON|2026-06-04|COILED|4|141.295|136.01|138.66|1114554
AAON|2026-06-04|COILED|5|142.95|137.8901|140.2|1034770
AAON|2026-06-04|COILED|6|143.34|132.63|142.26|930345
AAON|2026-06-04|COILED|7|145.87|138.86|139.54|1027449
AAON|2026-06-04|COILED|8|142.44|137.68|141.12|1155621
AAON|2026-06-04|COILED|9|137.0899|128.3669|134.6|943930
AAON|2026-06-04|COILED|10|133.79|127.89|132.39|1037611
AAON|2026-06-04|COILED|11|133.93|128.57|133.76|883992
AAON|2026-06-04|COILED|12|134.38|126.67|130.27|1062861
AAON|2026-06-04|COILED|13|136.09|130.75|133.94|936892
AAON|2026-06-04|COILED|14|136.63|130|135.49|1159126
AAON|2026-06-04|COILED|15|141.27|132.92|140|1005541
AAON|2026-06-04|COILED|16|139.3223|128.98|135.37|1523285
AAON|2026-06-04|COILED|17|139.055|126.165|133.66|1738079
AAON|2026-06-04|COILED|18|146.415|136.0501|141.7|1393347
AAON|2026-06-04|COILED|19|140.82|129.3001|139.66|1934534
AAON|2026-06-04|COILED|20|149|125.23|129.25|7690748
AAON|2026-06-04|COILED|21|99.99|94.33|98.3|2117501
AAON|2026-06-04|COILED|22|94.66|88.49|93.66|1306202
AAON|2026-06-04|COILED|23|94.79|90.71|91.9|514550
AAON|2026-06-04|COILED|24|96.54|92.74|93.59|490926
AAON|2026-06-04|COILED|25|94.19|86.54|93.31|701146
AAON|2026-06-04|COILED|26|89.5|86.36|86.47|561277
AAON|2026-06-04|COILED|27|90.81|85.6338|88.08|782799
AAON|2026-06-04|COILED|28|101|91.01|91.64|1567454
AAON|2026-06-04|COILED|29|101.9799|96.38|99.59|906527
AAON|2026-06-04|COILED|30|100.525|96.6281|98.71|621635
AAON|2026-06-04|COILED|31|98.205|95.36|96.86|669372
AAON|2026-06-04|COILED|32|100.47|94.8364|95.74|640480
AAON|2026-06-04|COILED|33|98.29|92.82|97.9|623700
AAON|2026-06-04|COILED|34|98.22|93.0975|93.98|2148973
AAON|2026-06-04|COILED|35|92.9|90|91.48|780333
AAON|2026-06-04|COILED|36|93.53|87.32|92.6|1414562
AAON|2026-06-04|COILED|37|96.205|92.51|93.81|789339
AAON|2026-06-04|COILED|38|93.79|89.79|93.54|585382
AAON|2026-06-04|COILED|39|93.67|91.01|93.17|484831
AAON|2026-06-04|COILED|40|91.59|85.77|90.77|444925
ACLS|2026-05-26|COILED|1|164.96|157.24|164.27|478230
ACLS|2026-05-26|COILED|2|158.98|151.815|156.94|476801
ACLS|2026-05-26|COILED|3|155.07|147.91|152.51|349766
ACLS|2026-05-26|COILED|4|151.355|144.66|149.56|386073
ACLS|2026-05-26|COILED|5|144.4|137.84|143.23|640296
ACLS|2026-05-26|COILED|6|155.61|143.09|146.24|608756
ACLS|2026-05-26|COILED|7|157.22|152.59|155.18|556294
ACLS|2026-05-26|COILED|8|165.4636|160|161.64|393323
ACLS|2026-05-26|COILED|9|167.6486|158.3626|162.15|572501
ACLS|2026-05-26|COILED|10|163.055|153.02|161.64|750584
ACLS|2026-05-26|COILED|11|168.14|160.45|165.08|639015
ACLS|2026-05-26|COILED|12|164.685|149.1873|163.03|1033410
ACLS|2026-05-26|COILED|13|169|157.085|158.66|1416091
ACLS|2026-05-26|COILED|14|171.61|156.43|171|1883488
ACLS|2026-05-26|COILED|15|145.42|138.745|139.7|1004172
ACLS|2026-05-26|COILED|16|143.55|138.33|141.87|445925
ACLS|2026-05-26|COILED|17|140.655|136.98|139.99|320417
ACLS|2026-05-26|COILED|18|140.5|132.59|139.11|798626
ACLS|2026-05-26|COILED|19|136.295|130.57|133.61|421039
ACLS|2026-05-26|COILED|20|138.035|130.02|134.02|835760
ACLS|2026-05-26|COILED|21|144.165|135|137.46|641354
ACLS|2026-05-26|COILED|22|147.94|138.41|143.13|843592
ACLS|2026-05-26|COILED|23|140|135.4701|139.86|733741
ACLS|2026-05-26|COILED|24|140.49|134.06|139.93|894009
ACLS|2026-05-26|COILED|25|137.44|130.05|133.19|1209313
ACLS|2026-05-26|COILED|26|132.195|120.64|131.02|1313225
ACLS|2026-05-26|COILED|27|121.8399|117.535|118.73|449456
ACLS|2026-05-26|COILED|28|120.47|116.255|118.76|692959
ACLS|2026-05-26|COILED|29|120.985|113.08|117.88|949355
ACLS|2026-05-26|COILED|30|114.84|111.83|113.06|456294
ACLS|2026-05-26|COILED|31|111.36|108.05|110.74|438252
ACLS|2026-05-26|COILED|32|112.82|109.725|110.37|662928
ACLS|2026-05-26|COILED|33|108.71|104.08|108.24|645038
ACLS|2026-05-26|COILED|34|105.15|100.78|104.65|695948
ACLS|2026-05-26|COILED|35|99.6381|94.03|96.87|480392
ACLS|2026-05-26|COILED|36|97.85|93.2884|97.5|492239
ACLS|2026-05-26|COILED|37|96.78|91.78|95.09|352806
ACLS|2026-05-26|COILED|38|98.96|93.995|95.51|617858
ACLS|2026-05-26|COILED|39|93.81|89.16|93.08|589230
