2026-04-14|QBTX|9.16|7.97|||||outside top-20 gap cap (gap 14.2%)||
2026-04-14|QPUX|9.96|16.37|||||outside top-20 gap cap (gap 11.9%)||
2026-04-14|QUBX|8.88|8.33|||||outside top-20 gap cap (gap 11.6%)||
2026-04-14|RDTL|8.37|17.93|||||outside top-20 gap cap (gap 8.4%)||
2026-04-14|RDWU|9.33|11.36|||||outside top-20 gap cap (gap 8.0%)||
2026-04-14|RENT|10.19|5.79|||||quality filter: ADV too low ($224,873)||
2026-04-14|RGTIW|10.42|6.24|||||outside top-20 gap cap (gap 8.0%)||
2026-04-14|RGTU|13.55|16.38|||||outside top-20 gap cap (gap 13.8%)||
2026-04-14|RGTX|13.65|16.7|||||outside top-20 gap cap (gap 12.8%)||
2026-04-14|RIOX|8.96|28.58|||||outside top-20 gap cap (gap 12.0%)||
2026-04-14|RKLX|8.28|30.55|||||outside top-20 gap cap (gap 10.0%)||
2026-04-14|ROBN|8.24|18.2|||||low rel volume 0.4x < 2.0x||
2026-04-14|ROLR|11|5.09|||||quality filter: ADV too low ($314,043)||
2026-04-14|RONB|9.14|22.98|||||low rel volume 0.1x < 2.0x||
2026-04-14|SBET|8.36|6.7|||||outside top-20 gap cap (gap 9.6%)||
2026-04-14|SMCX|8.04|10.82|||||outside top-20 gap cap (gap 8.0%)||
2026-04-14|SMR|13.26|9.58|||||low rel volume 0.4x < 2.0x||
2026-04-14|SMU|8.67|10.49|||||low rel volume 1.1x < 2.0x||
2026-04-14|SMUP|11.03|7.89|||||low rel volume 0.8x < 2.0x||
2026-04-14|SNAG|9.12|5.9569|||||outside top-20 gap cap (gap 9.1%)||
2026-04-14|SNOU|8.05|13.42|||||outside top-20 gap cap (gap 8.1%)||
2026-04-14|SOFX|10.8|10.65|||||outside top-20 gap cap (gap 10.8%)||
2026-04-14|TEMT|11.34|18.1|||||outside top-20 gap cap (gap 13.5%)||
2026-04-14|TVTX|43.32|30.7||||||100|HIGH
2026-04-14|USAX|8.11|15.54|||||outside top-20 gap cap (gap 8.1%)||
2026-04-14|WULX|8.67|33.58|||||outside top-20 gap cap (gap 8.7%)||
2026-04-14|XNDU|10.53|11.49|||||outside top-20 gap cap (gap 12.6%)||
2026-04-14|XZO|39.03|15.4|||||low rel volume 0.0x < 2.0x||
2026-04-16|ABX|13.07|8.8|||||pre-mkt volume 1,000 < 25,000 shares||
2026-04-16|AEHR|14.63|73.22|||||low rel volume 0.8x < 2.0x (post-open)||
2026-04-16|ALGS|9.3|7.42|||||quality filter: ADV too low ($373,699)||
2026-04-16|ANL|13.21|13.25|||||low rel volume 0.4x < 2.0x (post-open)||
2026-04-16|APPX|8.39|36.46|||||outside top-20 gap cap (gap 8.4%)||
2026-04-16|ARCX|8.6|19.88|||||outside top-20 gap cap (gap 8.6%)||
2026-04-16|ARQQ|10.04|16.23|||||low rel volume 0.8x < 2.0x (post-open)||
2026-04-16|BBGI|11.33|13.72|||||already up 142% in prior 5 days (extended)||
2026-04-16|CDNA|17.42|17.57|||||low rel volume 0.9x < 2.0x (post-open)||
2026-04-16|DLLL|8.78|40.4287|||||low rel volume 0.2x < 2.0x (post-open)||
2026-04-16|EOSU|8.21|43.137|||||pre-mkt volume 8,080 < 25,000 shares||
2026-04-16|GLND|11.29|5.49|||||low rel volume 0.1x < 2.0x (post-open)||
2026-04-16|HIMS|8.28|24.29|||||outside top-20 gap cap (gap 8.3%)||
2026-04-16|HIMZ|10.54|30.49|||||low rel volume 0.3x < 2.0x (post-open)||
2026-04-16|HQ|15.13|12.23|||||quality filter: ADV too low ($468,014)||
2026-04-16|IONL|9.15|22.62|||||outside top-20 gap cap (gap 9.2%)||
2026-04-16|IONQ|9.32|43.25|||||outside top-20 gap cap (gap 9.3%)||
2026-04-16|IONX|9.51|43.33|||||outside top-20 gap cap (gap 9.5%)||
2026-04-16|LITX|8.57|38.96|||||low rel volume 0.2x < 2.0x (post-open)||
2026-04-16|MGTX|8.89|11.25|||||outside top-20 gap cap (gap 8.9%)||
2026-04-16|MOVE|16.06|14.725|||||low rel volume 0.3x < 2.0x (post-open)||
2026-04-16|MRLN|10.22|14.29|||||low rel volume 0.3x < 2.0x (post-open)||
2026-04-16|NEXA|12.42|14.65|||||low rel volume 0.2x < 2.0x (post-open)||
2026-04-16|NN|11.76|16.97|||||low rel volume 0.3x < 2.0x (post-open)||
2026-04-16|NNE|8.48|24.29|||||outside top-20 gap cap (gap 8.5%)||
2026-04-16|NUCL|8.19|9.52|||||outside top-20 gap cap (gap 8.2%)||
2026-04-16|OFG|9.59|42.44|||||pre-mkt volume 100 < 25,000 shares||
2026-04-16|OKLL|11.01|9.45|||||low rel volume 0.6x < 2.0x (post-open)||
2026-04-16|OKLO|8|63.35|||||outside top-20 gap cap (gap 8.0%)||
2026-04-16|OKTG|14.33|8.1166|||||low rel volume 0.6x < 2.0x (post-open)||
2026-04-16|ONTO|12.01|258.9|||||low rel volume 0.0x < 2.0x (post-open)||
2026-04-16|ORCU|8.53|12.49|||||low rel volume 1.0x < 2.0x (post-open)||
2026-04-16|ORCX|8.56|34.97|||||low rel volume 0.6x < 2.0x (post-open)||
2026-04-16|PLU|16.4|35.79|||||low rel volume 0.3x < 2.0x (post-open)||
2026-04-16|PONX|9.64|9.44|||||low rel volume 0.2x < 2.0x (post-open)||
2026-04-16|PPG|8.85|107.72|||||outside top-20 gap cap (gap 8.8%)||
2026-04-16|QBTS|8.99|20.81|||||outside top-20 gap cap (gap 9.0%)||
2026-04-16|QBTX|11.81|15.24|||||low rel volume 1.0x < 2.0x (post-open)||
2026-04-16|QPUX|8.58|28.9|||||outside top-20 gap cap (gap 8.6%)||
2026-04-16|QSU|13.86|14.799|||||low rel volume 0.4x < 2.0x (post-open)||
2026-04-16|QUBX|8.44|13.63|||||outside top-20 gap cap (gap 8.4%)||
2026-04-16|REXC|8.95|20.9183|||||pre-mkt volume 4,126 < 25,000 shares||
2026-04-16|RGTI|8.22|19.11|||||outside top-20 gap cap (gap 8.2%)||
2026-04-16|RGTIW|12.26|8.81|||||pre-mkt volume 13,296 < 25,000 shares||
2026-04-16|RGTU|12.21|25.79|||||already up 69% in prior 5 days (extended)||
2026-04-16|RGTX|9|25.99|||||outside top-20 gap cap (gap 9.0%)||
2026-04-16|RKLB|8.8|73.6|||||low rel volume 0.2x < 2.0x (post-open)||
2026-04-16|RKLX|17.62|33.04|||||low rel volume 0.5x < 2.0x (post-open)||
2026-04-16|SGML|15.92|18.22|||||low rel volume 0.4x < 2.0x (post-open)||
2026-04-16|SKIL|8.01|5.68|||||low rel volume 0.3x < 2.0x (post-open)||
2026-04-16|SMR|8.45|11.71|||||outside top-20 gap cap (gap 8.4%)||
2026-04-16|SMU|12.57|15.36|||||low rel volume 1.7x < 2.0x (post-open)||
2026-04-16|SMUP|12.14|11.7|||||quality filter: ADV too low ($703,613)||
2026-04-16|SOFX|10.02|12.88|||||low rel volume 0.2x < 2.0x (post-open)||
2026-04-16|SOUX|9.34|20.77|||||low rel volume 0.7x < 2.0x (post-open)||
2026-04-16|UMC|8.04|9.95|||||outside top-20 gap cap (gap 8.0%)||
2026-04-16|VOYG|8.61|29.91|||||outside top-20 gap cap (gap 8.6%)||
2026-04-16|WSHP|294.28|8.22|||||already up 55% in prior 5 days (extended)||
2026-04-16|XNDU|39.77|25.18|||||already up 234% in prior 5 days (extended)||
2026-04-17|AALG|14.13|10.23|||||low volume rel_vol 0.3x < 2.0x (post-open)||
2026-04-17|ADV|9.48|27.86|||||outside top-20 gap cap (gap 9.5%)||
2026-04-17|AFRU|12.76|8.07|||||low volume rel_vol 0.2x < 2.0x (post-open)||
2026-04-17|ALV|13|111.33|||||low volume rel_vol 0.1x < 2.0x (post-open)||
2026-04-17|ASMG|8.37|35.74|||||outside top-20 gap cap (gap 8.4%)||
2026-04-17|ASMU|9.07|23.38|||||outside top-20 gap cap (gap 9.1%)||
2026-04-17|BIRD|17.42|10.91|||||already up 356% in prior 5 days (extended)||
2026-04-17|BJRI|8.34|37.3|||||outside top-20 gap cap (gap 8.3%)||
2026-04-17|BTM|14.05|5.05|||||low volume rel_vol 0.4x < 2.0x (post-open)||
2026-04-17|CDRE|10.88|30.43|||||low volume rel_vol 0.0x < 2.0x (post-open)||
2026-04-17|COIA|8.02|6.98|||||outside top-20 gap cap (gap 8.0%)||
2026-04-17|COIG|8.09|8.8816|||||outside top-20 gap cap (gap 8.1%)||
2026-04-17|CONX|8.06|10.92|||||outside top-20 gap cap (gap 8.1%)||
2026-04-17|CRDU|8.31|40.44|||||outside top-20 gap cap (gap 8.3%)||
2026-04-17|CRML|26.86|9.27|||||low volume rel_vol 0.9x < 2.0x (post-open)||
2026-04-17|CRMU|51.29|7.3304|||||quality filter: ADV too low ($300,249)||
2026-04-17|CRMX|52.92|16.61|||||low volume rel_vol 1.5x < 2.0x (post-open)||
2026-04-17|CRVS|10.7|15.04|||||outside top-20 gap cap (gap 10.7%)||
2026-04-17|DSU|18.78|9.8|||||pre-mkt volume 103 < 25,000 shares||
2026-04-17|DUG|8.5|19.54|||||outside top-20 gap cap (gap 8.5%)||
2026-04-17|GDXU|8.26|239.97|||||outside top-20 gap cap (gap 8.3%)||
2026-04-17|HODU|8.47|10.74|||||outside top-20 gap cap (gap 8.5%)||
2026-04-17|HOOG|8.63|26.18|||||outside top-20 gap cap (gap 8.6%)||
2026-04-17|HOOX|8.03|29.78|||||outside top-20 gap cap (gap 8.0%)||
2026-04-17|JOBX|8.02|22.68|||||outside top-20 gap cap (gap 8.0%)||
2026-04-17|KORU|8.61|469|||||outside top-20 gap cap (gap 8.6%)||
2026-04-17|KPDD|8.29|9.05|||||outside top-20 gap cap (gap 8.3%)||
2026-04-17|KURA|8.61|8.94|||||outside top-20 gap cap (gap 8.6%)||
2026-04-17|MGRT|11.06|105.26|||||low volume rel_vol 0.1x < 2.0x (post-open)||
2026-04-17|NFXS|9.69|14.5861|||||outside top-20 gap cap (gap 9.7%)||
2026-04-17|NRXS|8.7|7.36|||||pre-mkt volume 1,294 < 25,000 shares||
2026-04-17|NUCL|8.11|12.2|||||pre-mkt volume 13,057 < 25,000 shares||
2026-04-17|OILD|11.67|45.49|||||low volume rel_vol 0.1x < 2.0x (post-open)||
2026-04-17|P|710.14|8.38|||||low volume rel_vol 0.0x < 2.0x (post-open)||
2026-04-17|PBM|67.45|5.87|||||already up 136% in prior 5 days (extended)||
2026-04-17|PDDL|8.78|22.22|||||outside top-20 gap cap (gap 8.8%)||
2026-04-17|ROBN|8.25|26.17|||||outside top-20 gap cap (gap 8.2%)||
2026-04-17|ROLR|10.61|7.54|||||outside top-20 gap cap (gap 10.6%)||
2026-04-17|SHMD|9.39|5.54|||||outside top-20 gap cap (gap 9.4%)||
2026-04-17|SILC|19.98|25.13|||||low volume rel_vol 0.3x < 2.0x (post-open)||
2026-04-17|SMU|9.22|14.54|||||outside top-20 gap cap (gap 9.2%)||
2026-04-17|SMUP|8.14|11.05|||||outside top-20 gap cap (gap 8.1%)||
2026-04-17|SOUX|8.98|19.93|||||outside top-20 gap cap (gap 9.0%)||
2026-04-17|TEMT|8.23|24.9|||||outside top-20 gap cap (gap 8.2%)||
2026-04-17|UMC|11.68|10.62|||||low volume rel_vol 0.1x < 2.0x (post-open)||
2026-04-17|USAX|12.72|18.63|||||low volume rel_vol 0.3x < 2.0x (post-open)||
2026-04-17|USGG|13.12|11.28|||||low volume rel_vol 0.2x < 2.0x (post-open)||
2026-04-17|WSHP|28.43|14.265|||||already up 188% in prior 5 days (extended)||
2026-04-17|WTID|14.81|5.2|||||low volume rel_vol 0.1x < 2.0x (post-open)||
2026-04-17|XNDU|14.17|32.67|||||low volume rel_vol 0.8x < 2.0x (post-open)||
2026-04-20|ACLS|8.33|118.73|||||outside top-20 gap cap (gap 8.3%)||
2026-04-20|ALMR|11.02|22|||||outside top-20 gap cap (gap 11.0%)||
2026-04-20|AOSL|12.43|33.88|||||outside top-20 gap cap (gap 12.4%)||
2026-04-20|ASTN|29.11|12.61||||||51.8|MODERATE
2026-04-20|ATXG|24.67|6.08|||||quality filter: ADV too low ($191,778)||
2026-04-20|AVEX|31.73|26.93|||||low volume projected 1.4x < 2.0x (post-open)||
2026-04-20|BIRD|10.56|10.8|||||already up 352% in prior 5 days (extended)||
2026-04-20|BLD|16.32|410.31|||||M&A/buyout catalyst — no momentum trade||
2026-04-20|BMNZ|11.4|14.12|||||outside top-20 gap cap (gap 11.4%)||
2026-04-20|BWET|9.67|148.63|||||pre-mkt volume 1,121 < 25,000 shares||
2026-04-20|CADL|17.03|6.37||||||100|HIGH
2026-04-20|CMCT|10.93|6.157|||||outside top-20 gap cap (gap 10.9%)||
2026-04-20|CMPS|22.37|6.66||||||100|HIGH
2026-04-20|CODI|8.56|10.51|||||outside top-20 gap cap (gap 8.6%)||
2026-04-20|DFTX|13.8|22.68|||||score 22 < 50 (catalyst=strong)|21.6|
2026-04-20|EDSA|15.51|5.93|||||low volume projected 1.6x < 2.0x (post-open)||
2026-04-20|ETHD|12.25|45.73|||||outside top-20 gap cap (gap 12.2%)||
2026-04-20|FGI|25.23|6.5|||||already up 77% in prior 5 days (extended)||
2026-04-20|GHRS|18.65|18.34||||||100|HIGH
2026-04-20|HELP|18.91|5.5|||||quality filter: Market cap too low ($274M)||
2026-04-20|HIMZ|8.95|41.81|||||outside top-20 gap cap (gap 8.9%)||
2026-04-20|HQ|8.93|11.78|||||outside top-20 gap cap (gap 8.9%)||
2026-04-20|IONZ|8.31|6.74|||||quality filter: ATR too high (35.0%)||
2026-04-20|JLHL|53.6|6.35|||||quality filter: ADV too low ($125,971)||
2026-04-20|JTAI|15.38|7.28|||||quality filter: Market cap too low ($5M)||
2026-04-20|KSPI|8.35|84.91|||||outside top-20 gap cap (gap 8.3%)||
2026-04-20|LEGN|9.92|21.17|||||outside top-20 gap cap (gap 9.9%)||
2026-04-20|LNZA|13.47|22.57|||||outside top-20 gap cap (gap 13.5%)||
2026-04-20|LWLG|11.52|12.54|||||outside top-20 gap cap (gap 11.5%)||
2026-04-20|LZM|14.86|5.18|||||outside top-20 gap cap (gap 14.9%)||
2026-04-20|MAAS|18.7|9.84|||||already up 84% in prior 5 days (extended)||
2026-04-20|MRVL|8.07|139.69|||||EP cooldown — alerted within last 60 days||
2026-04-20|MRVU|11.28|65.36|||||pre-mkt volume 9,394 < 25,000 shares||
2026-04-20|MVLL|11.8|50.27|||||score -12 < 50 (catalyst=routine)|-12|
2026-04-20|MXL|15.49|26.27|||||outside top-20 gap cap (gap 15.5%)||
2026-04-20|NKTR|24.46|84.86||||||100|HIGH
2026-04-20|NXTC|17.58|10.325|||||quality filter: ADV too low ($495,426)||
2026-04-20|ONDG|11.59|6.3538|||||outside top-20 gap cap (gap 11.6%)||
2026-04-20|ONDL|11.15|17.84|||||outside top-20 gap cap (gap 11.2%)||
2026-04-20|ONDU|13.05|10.19|||||outside top-20 gap cap (gap 13.1%)||
2026-04-20|OWLS|9.64|5.29|||||outside top-20 gap cap (gap 9.6%)||
2026-04-20|PBM|70.92|7.6|||||already up 185% in prior 5 days (extended)||
2026-04-20|POET|17.78|7.26|||||score 48 < 50 (catalyst=routine)|48|
2026-04-20|ROMA|13.7|5.365|||||outside top-20 gap cap (gap 13.7%)||
2026-04-20|SHIM|9|5.28|||||outside top-20 gap cap (gap 9.0%)||
2026-04-20|SILA|18.96|25.53|||||M&A/buyout catalyst — no momentum trade||
2026-04-20|SKYQ|19.6|8.01|||||quality filter: ATR too high (16.8%)||
2026-04-20|SOC|9.99|13.11|||||pre-mkt volume 23,822 < 25,000 shares||
2026-04-20|STEL|8.04|37.95|||||pre-mkt volume 314 < 25,000 shares||
2026-04-20|USAR|9.07|19.95|||||outside top-20 gap cap (gap 9.1%)||
2026-04-20|USAX|19.62|21.76||||||74.9|HIGH
2026-04-20|USGG|19.09|13.2||||||79.2|HIGH
2026-04-20|VCX|11.66|84.47|||||outside top-20 gap cap (gap 11.7%)||
2026-04-20|VMET|17.86|11.03|||||M&A/buyout catalyst — no momentum trade||
2026-04-20|VTIX|8.3|6.17|||||outside top-20 gap cap (gap 8.3%)||
2026-04-21|ALAB|8.05|175.8|||||low volume rel_vol 0.1x < 2.0x (post-open)||
2026-04-21|ALMU|11.58|16.67|||||quality filter: Market cap too low ($301M)||
2026-04-21|AVEX|15|33.41|||||low volume projected 1.4x < 2.0x (post-open)||
2026-04-21|BIOA|8.99|18.8|||||pre-mkt volume 17,743 < 25,000 shares||
2026-04-21|BTM|10.76|6.41|||||already up 74% in prior 5 days (extended)||
2026-04-21|BULL|9.35|7.01|||||low volume rel_vol 0.3x < 2.0x (post-open)||
2026-04-21|CAR|8.41|608.8|||||low volume rel_vol 0.1x < 2.0x (post-open)||
2026-04-21|DHI|9.36|153.34|||||low volume projected 1.0x < 2.0x (post-open)||
2026-04-21|EFOI|10.12|5.44|||||already up 167% in prior 5 days (extended)||
2026-04-21|EGY|8.97|5.35|||||routine catalyst, gap 9.0%||
2026-04-21|EWTX|9.77|33.97|||||pre-mkt volume 268 < 25,000 shares||
2026-04-21|FJET|9.14|5.8|||||quality filter: Market cap too low ($288M)||
2026-04-21|FRMI|8.15|5.4|||||routine catalyst, gap 8.2%||
2026-04-21|GRPN|18.19|14.95|||||low volume rel_vol 0.5x < 2.0x (post-open)||
2026-04-21|HCAI|8.91|5.5001|||||quality filter: ADV too low ($143,309)||
2026-04-21|HTCO|8.01|9.99|||||pre-mkt volume 3,836 < 25,000 shares||
2026-04-21|IMOS|9.23|43.49|||||pre-mkt volume 8,223 < 25,000 shares||
2026-04-21|JLHL|28.41|9.44|||||already up 60% in prior 5 days (extended)||
2026-04-21|LCID|8|6.75|||||low volume rel_vol 0.5x < 2.0x (post-open)||
2026-04-21|LZM|10.28|5.45|||||low volume rel_vol 0.2x < 2.0x (post-open)||
