file	line	func	class	parse_mode	arg0	in_wrapper_def	is_test
agents/market_intelligence/broker/trade_stream.py	2285	_handle_cancel_or_reject	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	176	_run_stream_with_monitoring	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	867	_process_entry_fill	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	950	_process_entry_fill	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	1970	_handle_cancel_or_reject	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	2103	_handle_cancel_or_reject	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	2236	_handle_cancel_or_reject	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	2292	_handle_cancel_or_reject	default_markdown	<default>	fstring	False	False
agents/market_intelligence/broker/trade_stream.py	967	_process_entry_fill	default_markdown	<default>	fstring	False	False
agents/market_intelligence/close_digest.py	149	flush_and_send	default_markdown	<default>	name:msg	False	False
agents/market_intelligence/cost_board.py	237	run_daily_spend_alarm	default_markdown	<default>	binop	False	False
agents/market_intelligence/cost_board.py	1028	run_truncation_check	explicit_html_md_to_html	'HTML'	call:md_to_html	False	False
agents/market_intelligence/cost_board.py	742	run_cost_watchdog	default_markdown	<default>	call:join	False	False
agents/market_intelligence/cost_board.py	754	run_cost_watchdog	default_markdown	<default>	call:join	False	False
agents/market_intelligence/cost_board.py	946	run_truncation_check	default_markdown	<default>	const	False	False
agents/market_intelligence/crypto/briefing.py	221	send_alt_season_alert	default_markdown	<default>	call:join	False	False
agents/market_intelligence/crypto/briefing.py	232	send_alt_season_alert	default_markdown	<default>	name:top	False	False
agents/market_intelligence/ecosystem_discovery.py	338	_send_html	explicit_html_native	'HTML'	name:text	False	False
agents/market_intelligence/ep_delayed_residual.py	178	run_delayed_residual_scan	explicit_html_md_to_html	'HTML'	call:md_to_html	False	False
