ticker	scan_date	adv_dollar	n
RPC	2026-08-21	4481201.92	23
RPD	2026-08-11	26286700.54	22
RRGB	2026-08-13	1215876.88	23
RUM	2026-08-24	19891664.88	21
SBGI	2026-08-06	6712407.96	23
SDGR	2026-08-06	14403036.72	23
SDOT	2026-07-27	27058835.9	20
SDOT	2026-08-21	2013111.59	23
SEI	2026-08-07	218070167.31	23
SGHT	2026-08-06	714380.4500000001	23
SHOP	2026-08-05	913437739.76	23
SILC	2026-07-29	6175632.615	22
SLDB	2026-07-28	11354690.08	21
SLN	2026-08-10	5732415.24	21
SMWB	2026-08-12	4212341.4	23
SPAI	2026-08-25	505442.98	21
SPRC	2026-07-30	145500.885	22
SRZN	2026-08-07	4581490.96	23
ST	2026-07-30	76358905.20500001	22
STDN	2026-08-10	9505943.875	18
STDN	2026-08-14	9734039.61	22
STEM	2026-08-13	708074.7	23
STGW	2026-07-30	7447316.105	22
STI	2026-07-31	868074.355	22
SUJA	2026-08-24	5633883.75	21
TBI	2026-08-05	1767380.6800000002	23
TH	2026-08-10	15324512.19	21
TILE	2026-08-07	12824662.5	23
TMCR	2026-08-21	351573.60000000003	23
TNXP	2026-08-10	4662332.96	21
TRU	2026-07-28	164127742.87	21
TRUP	2026-08-06	8636518.5	23
TSAT	2026-08-04	7408776.710000001	22
TSEM	2026-08-07	386196502.4	23
TVTX	2026-08-05	73393138	23
U	2026-08-06	227080719.76000002	23
ULBI	2026-08-07	169910.06999999998	23
UMAC	2026-07-30	64105259.650000006	22
VATE	2026-08-11	745624.845	22
VMET	2026-08-20	1875149.25	23
VREX	2026-08-10	3662978.4099999997	21
W	2026-08-04	236521669.68	22
WATT	2026-07-29	3320749.53	22
WATT	2026-08-04	2803940.83	22
WEAV	2026-08-18	7199637.105	22
WOLF	2026-07-30	122172299.4	22
WPP	2026-08-06	6695923.300000001	23
WSHP	2026-08-11	319924.52	22
WSM	2026-08-03	184363954.15	21
WYFI	2026-08-12	50968995.91	23
WYFI	2026-08-13	50968995.91	23
WYNN	2026-08-05	130543342.18	23
XE	2026-08-13	87223213.35	23
XHLD	2026-08-17	443210.10000000003	21
YELP	2026-08-07	24884253.240000002	23
ZD	2026-08-07	26120989.58	23
ZETA	2026-08-05	156498877.92	23
ZTG	2026-08-12	1136434.53	23
ZVRA	2026-08-06	13706392.53	23
