ticker|d|t_ms|o|h|l|c|v
ABVX|2026-06-04|1780596600000|98.975|99.3|98.975|99.14|12221
ABVX|2026-06-04|1780596660000|99.15|99.2999|98.85|99.18|7290
ABVX|2026-06-04|1780596720000|99.205|99.31|99.205|99.31|2189
ABVX|2026-06-04|1780596780000|99.33|99.6599|99.33|99.53|5254
ABVX|2026-06-04|1780596840000|99.4485|99.63|99.4485|99.5|2983
ABVX|2026-06-04|1780596900000|99.4875|99.6499|99.4599|99.53|2703
ABVX|2026-06-04|1780596960000|99.535|99.59|99.19|99.19|8023
ABVX|2026-06-04|1780597020000|99.19|99.2845|99.19|99.19|2239
ABVX|2026-06-04|1780597080000|99.205|99.205|99.04|99.19|2176
ABVX|2026-06-04|1780597140000|99.21|99.75|99.195|99.665|22029
ABVX|2026-06-04|1780597200000|99.665|99.68|99.54|99.635|4793
ABVX|2026-06-04|1780597260000|99.595|99.67|99.56|99.67|5165
ABVX|2026-06-04|1780597320000|99.57|100.2|99.42|99.945|51530
ABVX|2026-06-04|1780597380000|99.945|100.295|99.835|100|35082
ABVX|2026-06-04|1780597440000|100|100.54|100|100.4577|13942
ABVX|2026-06-04|1780597500000|100.5|100.59|100.34|100.59|6470
ABVX|2026-06-04|1780597560000|100.53|100.7|100.13|100.42|11875
ABVX|2026-06-04|1780597620000|100.05|100.16|99.89|100.09|5764
ABVX|2026-06-04|1780597680000|100.18|100.31|100.02|100.1|4528
ABVX|2026-06-04|1780597740000|100.01|100.06|99.925|99.99|5472
ABVX|2026-06-04|1780597800000|100.06|100.0799|99.905|100.01|8126
ABVX|2026-06-04|1780597860000|100.08|100.3215|100|100.27|7647
ABVX|2026-06-04|1780597920000|100.28|100.28|100.165|100.165|3777
ABVX|2026-06-04|1780597980000|100.16|100.16|99.875|99.88|27270
ABVX|2026-06-04|1780598040000|99.76|100.1271|99.75|100.1271|9802
ABVX|2026-06-04|1780598100000|99.89|100.29|99.8|100.1|12456
ABVX|2026-06-04|1780598160000|100.095|100.095|100.075|100.075|1038
ABVX|2026-06-04|1780598220000|100.04|100.37|100.04|100.37|5169
ABVX|2026-06-04|1780598280000|100.3|100.93|100.3|100.795|7260
ABVX|2026-06-04|1780598340000|100.8456|100.9453|100.795|100.93|1961
ABVX|2026-06-04|1780598400000|100.91|101.11|100.77|101|35604
ABVX|2026-06-04|1780598460000|101.09|101.39|100.9719|101.19|15869
ABVX|2026-06-04|1780598520000|101.195|101.9099|101.03|101.06|22236
ABVX|2026-06-04|1780598580000|100.875|101.41|100.875|101.39|9104
ABVX|2026-06-04|1780598640000|101.41|101.41|100.9|101.32|5210
ABVX|2026-06-04|1780598700000|101.39|101.76|101.2|101.64|6208
ABVX|2026-06-04|1780598760000|101.58|102.24|101.485|102.215|8896
ABVX|2026-06-04|1780598820000|102.38|103.0799|101.68|102.3|18297
ABVX|2026-06-04|1780598880000|102.375|102.55|102.1001|102.1001|10079
ABVX|2026-06-04|1780598940000|102.25|102.37|102|102.37|11503
ABVX|2026-06-04|1780599000000|102.47|103|102.45|103|22348
ABVX|2026-06-04|1780599060000|102.91|103.98|102.8501|103.95|13857
ABVX|2026-06-04|1780599120000|103.98|103.99|103.34|103.4|18770
ABVX|2026-06-04|1780599180000|103.4|103.405|102.63|102.885|17541
ABVX|2026-06-04|1780599240000|102.885|103.2176|102.85|102.965|12079
ABVX|2026-06-04|1780599300000|102.965|102.965|102.1501|102.74|20663
ABVX|2026-06-04|1780599360000|102.74|103.37|102.74|103.3475|13746
ABVX|2026-06-04|1780599420000|103.365|103.97|103.17|103.97|13401
ABVX|2026-06-04|1780599480000|103.805|104.48|103.42|103.84|42667
ABVX|2026-06-04|1780599540000|104.1654|104.1654|103.5|103.79|4625
ABVX|2026-06-04|1780599600000|103.79|104.36|103.5973|104.36|22980
ABVX|2026-06-04|1780599660000|104.36|104.48|103.92|103.92|9100
ABVX|2026-06-04|1780599720000|103.7|104|103.49|103.59|10254
ABVX|2026-06-04|1780599780000|103.59|104.58|103.59|104.46|11048
ABVX|2026-06-04|1780599840000|104.5742|105.36|104.5193|105.225|34973
ABVX|2026-06-04|1780599900000|105.2125|105.37|104.665|104.665|22349
ABVX|2026-06-04|1780599960000|104.65|105.5|104.64|105.27|60943
ABVX|2026-06-04|1780600020000|105.27|105.45|104.32|105.245|37770
ABVX|2026-06-04|1780600080000|105.03|105.095|104.8|105.06|4288
ABVX|2026-06-04|1780600140000|105.06|105.27|104.9|105.06|19573
ABVX|2026-06-04|1780600200000|105.06|105.22|105.04|105.04|4613
ABVX|2026-06-04|1780600260000|105.03|105.25|104.8301|105.25|4445
ABVX|2026-06-04|1780600320000|105.1|105.1899|104.83|105|60018
ABVX|2026-06-04|1780600380000|104.9|105|104.7711|104.9|13115
ABVX|2026-06-04|1780600440000|104.9|105|104.16|104.255|11792
ABVX|2026-06-04|1780600500000|104.34|105.65|104.2236|105.6|34287
ABVX|2026-06-04|1780600560000|105.64|105.64|104.76|104.9032|74693
ABVX|2026-06-04|1780600620000|105.01|105.32|104.76|104.9|16620
ABVX|2026-06-04|1780600680000|105.0563|105.38|105.0563|105.35|20835
ABVX|2026-06-04|1780600740000|105.355|105.645|105|105|11800
ABVX|2026-06-04|1780600800000|105.3|105.3|104.7801|104.7801|9606
ABVX|2026-06-04|1780600860000|104.98|104.99|104.8577|104.99|2783
ABVX|2026-06-04|1780600920000|105|105|104.36|104.52|6152
ABVX|2026-06-04|1780600980000|104.52|104.64|104.13|104.25|11119
ABVX|2026-06-04|1780601040000|104.24|104.245|103.96|104.11|11363
ABVX|2026-06-04|1780601100000|104.07|104.07|103.51|103.67|13645
ABVX|2026-06-04|1780601160000|103.52|103.52|103.31|103.385|10025
ABVX|2026-06-04|1780601220000|103.385|103.44|102.925|103.37|12988
ABVX|2026-06-04|1780601280000|103.27|103.4399|103.19|103.31|6874
ABVX|2026-06-04|1780601340000|103.31|103.44|103.24|103.32|22644
ABVX|2026-06-04|1780601400000|103.43|103.57|103.03|103.1|21089
ABVX|2026-06-04|1780601460000|103.23|103.97|103.1314|103.61|12849
ABVX|2026-06-04|1780601520000|103.9|103.9999|103.705|103.815|11258
ABVX|2026-06-04|1780601580000|103.875|103.875|103.63|103.81|16211
ABVX|2026-06-04|1780601640000|103.81|103.81|103.7625|103.785|7303
ABVX|2026-06-04|1780601700000|103.785|103.785|102.63|102.815|29416
ABVX|2026-06-04|1780601760000|102.92|102.95|102.6|102.61|17506
ABVX|2026-06-04|1780601820000|102.775|102.775|102.31|102.49|7453
ABVX|2026-06-04|1780601880000|102.37|102.84|102.31|102.755|9452
ABVX|2026-06-04|1780601940000|102.805|102.86|102.5|102.5675|9504
ABVX|2026-06-04|1780602000000|102.6|102.72|102.45|102.58|9574
ABVX|2026-06-04|1780602060000|102.585|102.89|102.585|102.89|7479
ABVX|2026-06-04|1780602120000|102.87|102.87|102.6|102.7525|9067
ABVX|2026-06-04|1780602180000|102.75|102.755|102.255|102.47|18893
ABVX|2026-06-04|1780602240000|102.55|103.3|102.51|103.15|11820
ABVX|2026-06-04|1780602300000|103.21|103.27|103.12|103.12|2951
ABVX|2026-06-04|1780602360000|103.12|103.36|102.98|103.05|16053
ABVX|2026-06-04|1780602420000|103.05|103.1899|103.005|103.08|7176
ABVX|2026-06-04|1780602480000|103.08|103.2099|103.08|103.155|6943
ABVX|2026-06-04|1780602540000|103.21|103.21|102.54|102.8|10288
