ticker|alert_date|orb_high|orb_low|bar_et|open|high|low|close
MRVL|2026-08-19|241.53|235.84|09:35|239.235|239.9899|237.24|239.44
MRVL|2026-08-19|241.53|235.84|09:36|239.53|240|236.61|236.675
MRVL|2026-08-19|241.53|235.84|09:37|236.675|237.5099|235|235.742
MRVL|2026-08-19|241.53|235.84|09:38|235.91|237.03|235.28|236.08
MRVL|2026-08-19|241.53|235.84|09:39|235.99|236.2406|233.6706|233.84
MRVL|2026-08-19|241.53|235.84|09:40|233.82|234.8|232.95|234.2
NET|2026-08-07|318|311|09:30|318|318|311|317.73
NET|2026-08-07|318|311|09:31|318.5|318.5|314.57|317.415
NET|2026-08-07|318|311|09:32|317.24|317.57|314|314.99
NET|2026-08-07|318|311|09:33|314.6|322.49|314.01|318.66
NET|2026-08-07|318|311|09:34|318.4551|320.35|318|319.145
NET|2026-08-07|318|311|09:35|319.2|320.13|317|319.705
NET|2026-08-07|318|311|09:36|319.41|319.63|316.4415|317.2693
NET|2026-08-07|318|311|09:37|316.79|320|316.79|319.1
NET|2026-08-07|318|311|09:38|319.09|320.7|318|318.21
NET|2026-08-07|318|311|09:39|318.69|320.7|318.0001|318.825
NET|2026-08-07|318|311|09:40|318.8251|319.44|317.98|318.675
PLTR|2026-08-04|148.63|143.28|09:30|144.96|148.63|143.28|148.45
PLTR|2026-08-04|148.63|143.28|09:31|148.46|149.74|146.43|146.635
PLTR|2026-08-04|148.63|143.28|09:32|146.79|149.2|145.5899|148.56
PLTR|2026-08-04|148.63|143.28|09:33|148.46|148.73|147.08|147.475
PLTR|2026-08-04|148.63|143.28|09:34|147.475|149.85|147.39|149.814
PLTR|2026-08-04|148.63|143.28|09:35|149.79|151.25|149.7568|151.0001
PLTR|2026-08-04|148.63|143.28|09:36|151.1199|151.68|150.77|151.41
PLTR|2026-08-04|148.63|143.28|09:37|151.3794|151.89|150.38|150.39
PLTR|2026-08-04|148.63|143.28|09:38|150.435|151.51|150.1209|150.74
PLTR|2026-08-04|148.63|143.28|09:39|150.79|151.22|150.26|151.04
PLTR|2026-08-04|148.63|143.28|09:40|151.0306|151.45|150.7301|151.4196
TEAM|2026-08-07|146.8|143.21|09:30|145.64|146.8|143.21|146.27
TEAM|2026-08-07|146.8|143.21|09:31|146.19|149.49|144.3868|148.895
TEAM|2026-08-07|146.8|143.21|09:32|149.1799|149.9|146.84|147.3
TEAM|2026-08-07|146.8|143.21|09:33|147.295|149.9|147.0301|149.7
TEAM|2026-08-07|146.8|143.21|09:34|149.745|151.37|149.17|150.54
TEAM|2026-08-07|146.8|143.21|09:35|150.1334|150.75|149.23|150.22
TEAM|2026-08-07|146.8|143.21|09:36|150.35|150.37|147.03|147.816
TEAM|2026-08-07|146.8|143.21|09:37|147.885|149.3484|147.6301|148.4499
TEAM|2026-08-07|146.8|143.21|09:38|148.225|149.23|147.87|148.3
TEAM|2026-08-07|146.8|143.21|09:39|148.295|148.31|145.35|145.67
TEAM|2026-08-07|146.8|143.21|09:40|145.67|145.97|144.72|145.095
