Pager usage is off.
scan_date|ticker|max_gap|prev_close|rel_vol|proj_vol|pm_rvol|adv|prev_vol|today_vol|best_rank|mcap_m
2026-07-27|JACK|12.71|14.55|0.24|3.7|1.359|915999.8277255|||6|312
2026-07-27|KZIA|10.2|12.26|0.04|1||190917.3077|||7|140
2026-07-28|PMN|27.43|11.72|3.59|93.3||96947.1720755|||3|105
2026-07-29|ALMU|15.29|14.19|0.1||11.057|645263.365035|||3|260
2026-07-29|CLW|14.82|17.51|0.31|4.8||173722.79132199998|||7|316
2026-07-29|QUAD|12.25|8.41|0.27|5.3||161657.810392|||11|487
2026-07-29|RCKY|17.83|42.73|1.15|17.9||50761.47811|||2|322
2026-07-29|RNAC|11.11|7.65|0|0.3||173989.62062|||11|222
2026-07-29|SILC|20.59|38.02|0.07|1.8|5.104|183662.660147|||2|219
2026-07-30|CMCO|36.94|14.62|0.53|8.4|18.692|606664.9207595|||2|422
2026-07-30|QMCO|11.96|10.45|0.02||2.486|1027537.8921425|||11|411
2026-07-30|SMTI|11.6|30.25|0.6|||69507.576895|||18|277
2026-07-31|AIBZ|10.93|6.68|0.02|||757525.877237|||12|360
2026-07-31|AMCX|11.95|9.71|0.15|2.3||503482.062568|||14|477
2026-07-31|DUOT|14.25|8.14|0.22|4.3|1.403|756830.254428|||9|256
2026-08-03|INTT|10.53|12.35|0.28|4.4|1.209|187943.686196|||8|171
2026-08-04|INFU|11.39|9.22|0.02|||157013.843152|||19|206
2026-08-04|MRAM|18.96|15.45|0.28|5.5|7.165|1262295.610898|||4|362
2026-08-04|OCC|14.98|14.35|0.14||2.263|265556.026051|||11|127
2026-08-05|AMWL|22.55|10.42|0.23|3.6||132521.8074105|||9|200
2026-08-05|GTE|64.34|6.83|33.48|602.9||292692.99196849996|||1|242
2026-08-06|ASPN|30.14|5.01|0.37||122.408|1155508.432448|||2|415
2026-08-06|ATNI|19.2|24.01|0.13|2||72561.1210865|||9|440
2026-08-06|DCTH|15.6|12.63|0.03||2.717|389713.8416275|||9|436
2026-08-06|EOLS|10.19|6.18|0.02||5.971|681360.763364|||12|407
2026-08-06|OPRT|16.34|6.06|0.35|5.5||472791.3300915|||17|324
2026-08-07|FNKO|30.3|5.28|0.52|8.1||987718.907691|||6|295
2026-08-07|FRD|29.9|37.72|0.29|4.5||88291.913787|||5|272
2026-08-07|SENS|18.35|5.15|0.26|4.1||558912.7034285|||14|328
2026-08-07|SPT|24.66|8.19|0.32|5|7.134|1029161.6252325|||10|492
2026-08-10|BWMN|55.93|27.23|2.46|38.4||146630.3014815|||1|477
2026-08-10|RNA|13.45|12.34|0|||182336.97995900002|||7|211
2026-08-11|FENC|12.7|10.94|0.57|8.9||165183.19372450002|||9|416
2026-08-11|FF|30.43|5.16|3.19|49.8||314711.90348750004|||3|226
2026-08-11|QMCO|38.12|11.78|1.43|22.3|8.791|983636.6293635|||2|464
2026-08-12|AII|21.3|20.19|0.44|6.9||92446.96932850001|||2|396
2026-08-12|LENZ|24.18|5.21|0.4|6.2|4.658|1098094.7769005|||1|163
2026-08-12|PESI|17.19|17.45|0.72|11.2||396756.7795165|||6|443
2026-08-12|VELO|24.76|13.69|0.52|10.1|7.207|1838563.5502585|||1|408
2026-08-13|AIRO|31.92|8.49|2.74|42.7|14.417|363870.6605485|||2|267
2026-08-13|AZ|13.68|6.47|0.9|14||210638.190966|||12|336
2026-08-13|DERM|13.62|6.43|0.13|||192120.6648075|||7|177
2026-08-13|FOSL|12.33|5.27|0.01|||846083.3511775001|||8|311
2026-08-13|JACK|17.06|18.77|0.42|6.6|20.601|873273.8885069999|||4|358
2026-08-13|RRGB|22.02|8.16|1.27|19.8||198221.7927275|||6|167
2026-08-14|CPS|10.91|27.23|0.02|||196418.177508|||12|484
2026-08-14|IMXI|24.79|11.7|4.49|78.8|419.61|376477.7056965|||5|353
2026-08-17|CNXU|15.55|8.9|0.37|5.8||159717.0348365|||4|270
2026-08-17|DUOT|18.66|9.11|0.77|12|8.598|756830.254428|||4|286
2026-08-18|DUOT|21.3|10.28|1.84|28.7|17.984|756830.254428|||3|323
2026-08-18|FLXS|11.49|70.86|0.7|10.9||49732.634201|||7|334
2026-08-19|ARCT|41.78|8.21|4.81|77.5||487326.72973150003|||3|233
2026-08-19|OPHC|19.64|10.03|0|||201218.802159|||2|127
2026-08-20|HVT|9.66|28.27|0|||112251.68483099999|||6|441
2026-08-20|OPHC|9.01|10.1|0|||201218.802159|||7|127
2026-08-21|BKKT|10.13|7.5|0.61|9.5|4.105|1137212.605132|||3|376
2026-08-21|GLSI|10.58|15.31|0.01|||156478.9008365|||2|225
2026-08-21|PAL|16.89|5.21|0|||360455.8676735|||2|146
2026-08-24|BBCQ|9.68|9.71|0.86||95.759|219771.2533625|||4|372
2026-08-24|CAPR|10.33|6.29|0.06||2.29|7703041.160356499|||4|466
2026-08-24|SUPX|15.96|8.52|0.8|15.6|17.961|216656.9541835|||3|368
2026-08-25|CAPR|17.21|6.8|0.54|8.4|2.722|8235045.148197|||4|491
2026-08-25|DTIL|9.59|8.45|0|||301632.246819|||4|233
2026-08-27|AVNW|11.53|20.91|0.25|3.9||138212.5194055|||5|271
2026-08-27|FWDI|11.47|5.93|0.39|6.1||1174367.1054445|||9|500
2026-08-27|LTRX|16.04|5.66|0.97|15.1|10.424|731027.003155|||2|252
2026-08-28|ANIK|34.36|20.84|0.06|1.6||124933.30668750001|||1|283
2026-08-31|BETR|9.89|13.85|0.05||6.872|801111.4336989999|531642|40236|3|263
2026-08-31|CNXU|9.02|7.07|0|||209902.7429515|176907|976|2|189
2026-08-31|TITN|13.94|17.86|0.44|10.4||211548.996308|352960|92744|2|474
2026-09-01|PRLD|12.32|5.6|0|||475993.640701|737667|150|3|447
2026-09-02|CABO|11.69|23.87|0.07|1.2|1.516|298413.5262945|326211|21716|6|151
2026-09-02|DTIL|11.39|7.64|0|||280571.963031|170933|809|4|211
2026-09-02|EPRX|11.17|6.34|0.26|5.1||374935.74199999997|151655|96673|8|456
2026-09-02|FBLA|21.87|15.59|0.01|||80524.1617|123270|1124|1|226
2026-09-02|JLHL|33.99|5.62|52.9|1300||176315.17981200002|98838|9327606|1|121
2026-09-03|CHPT|49.81|5.19|21.2|392.1||395317.2473405|1631139|8379615|1|134
2026-09-03|GMTL|9.7|10.72|0.09|1.8||199664.41421750002|236253|17859|8|467
2026-09-04|BBCP|20.28|9.05|1.25|26.5||167655.01027700002|388204|209380|2|456
2026-09-04|PDEX|23.47|61.75|0.39|6.1||81478.8532315|64741|32018|2|197
(154 rows)
