cell|ticker|alert_date|account_mode|fetched|status|reason|gate_skip|entered|entry_px|stop|target|realized_r|mark_r|final_reason
era_d_stop_hard|WST|2026-04-23|paper|True|settled|||True|315.0|300.0|375.0|-1.0||stop_hit
era_d_stop_hard|WKC|2026-04-24|paper|True|abstain|entry_window_gaps:1_of_29|setup:stop_too_wide: 2.70 > 1.5x ATR 0.56|False||24.4002||||
era_d_stop_hard|TTMI|2026-04-30|paper|True|no_entry|never_crossed_orb_high||False||160.0||||
era_d_stop_hard|BAND|2026-04-30|paper|True|open_at_horizon|||True|33.26|28.655|52.33999999999998||4.428519724936666|
era_d_stop_hard|STRL|2026-05-05|paper|True|settled|||True|739.1199|669.0855|1019.2575|0.7497329883600048||stop_hit
era_d_stop_hard|EVER|2026-05-05|paper|True|settled|||True|19.15|17.15|27.15|-0.6409999999999982||stop_hit
era_d_stop_hard|AIP|2026-05-13|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 3.18 > 1.5x ATR 2.01|False||29.32||||
era_d_stop_hard|GO|2026-05-14|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.71 > 1.5x ATR 0.40|False||8.020000000000001||||
era_d_stop_hard|PONY|2026-05-26|paper|False|no_entry|never_crossed_orb_high||False||8.979999999999999||||
era_d_stop_hard|CORT|2026-07-30|live|False|settled||setup:stop_too_wide: 7.25 > 1.5x ATR 4.59|True|112.0|97.5|170.0|-0.10275862068965481||sma_trail_stop
era_d_stop_hard|AEVA|2026-08-06|live|False|settled||setup:stop_too_wide: 3.08 > 1.5x ATR 1.55|True|26.09|19.930000000000003|50.72999999999999|-0.5892857142857144||stop_hit
era_d_stop_hard|ATRO|2026-08-12|live|False|settled||setup:stop_too_wide: 5.75 > 1.5x ATR 3.52|True|85.25|73.75|131.25|-0.2642608695652175||stop_hit
era_d_stop_hard|HTFL|2026-08-14|live|False|settled||setup:stop_too_wide: 2.55 > 1.5x ATR 1.46|True|39.06|33.959999999999994|59.460000000000036|1.6384313725490158||stop_hit
era_d_stop_hard|BULL|2026-08-20|live|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.54 > 1.5x ATR 0.34|False||8.870000000000001||||
era_d_stop_hard|ROIV|2026-09-08|live|True|settled||setup:stop_too_wide: 1.90 > 1.5x ATR 1.21|True|40.4|36.6|55.59999999999999|-0.3631578947368412||stop_hit
orb_low_ladder|TLRY|2026-04-23|paper|True|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.76 > 1.5x ATR 0.46|False||8.58||||
orb_low_ladder|WST|2026-04-23|paper|True|settled|||True|315.0|307.5|375.0|-1.0||stop_hit
orb_low_ladder|WKC|2026-04-24|paper|True|abstain|entry_window_gaps:1_of_29|setup:stop_too_wide: 2.70 > 1.5x ATR 0.56|False||27.1001||||
orb_low_ladder|TTMI|2026-04-30|paper|True|no_entry|never_crossed_orb_high||False||170.0||||
orb_low_ladder|BAND|2026-04-30|paper|True|settled|||True|33.26|30.875|52.33999999999998|9.062194269741447||sma_trail_stop
orb_low_ladder|STRL|2026-05-05|paper|True|settled|||True|739.1199|704.1027|1019.2575|1.4994659767200096||stop_hit
orb_low_ladder|EVER|2026-05-05|paper|True|settled|||True|19.15|18.15|27.15|0.0||stop_hit
orb_low_ladder|AIP|2026-05-13|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 3.18 > 1.5x ATR 2.01|False||32.5||||
orb_low_ladder|GO|2026-05-14|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.71 > 1.5x ATR 0.40|False||8.73||||
orb_low_ladder|PONY|2026-05-26|paper|False|no_entry|never_crossed_orb_high||False||9.69||||
orb_low_ladder|CORT|2026-07-30|live|False|settled||setup:stop_too_wide: 7.25 > 1.5x ATR 4.59|True|112.0|104.75|170.0|-0.20551724137930963||sma_trail_stop
orb_low_ladder|AEVA|2026-08-06|live|False|settled||setup:stop_too_wide: 3.08 > 1.5x ATR 1.55|True|26.09|23.01|50.72999999999999|-1.0||stop_hit
orb_low_ladder|ATRO|2026-08-12|live|False|settled||setup:stop_too_wide: 5.75 > 1.5x ATR 3.52|True|85.25|79.5|131.25|-0.528521739130435||stop_hit
orb_low_ladder|HTFL|2026-08-14|live|False|settled||setup:stop_too_wide: 2.55 > 1.5x ATR 1.46|True|39.06|36.51|59.460000000000036|3.2768627450980317||stop_hit
orb_low_ladder|BULL|2026-08-20|live|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.54 > 1.5x ATR 0.34|False||9.41||||
orb_low_ladder|ROIV|2026-09-08|live|True|settled||setup:stop_too_wide: 1.90 > 1.5x ATR 1.21|True|40.4|38.5|55.59999999999999|-0.7263157894736824||stop_hit
orb_low_t3|TLRY|2026-04-23|paper|True|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.76 > 1.5x ATR 0.46|False||8.58||||
orb_low_t3|WST|2026-04-23|paper|True|settled|||True|315.0|307.5|375.0|-1.0||stop_hit
orb_low_t3|WKC|2026-04-24|paper|True|abstain|entry_window_gaps:1_of_29|setup:stop_too_wide: 2.70 > 1.5x ATR 0.56|False||27.1001||||
orb_low_t3|TTMI|2026-04-30|paper|True|no_entry|never_crossed_orb_high||False||170.0||||
orb_low_t3|BAND|2026-04-30|paper|True|settled|||True|33.26|30.875|52.33999999999998|7.932914046121599||time_close
orb_low_t3|STRL|2026-05-05|paper|True|settled|||True|739.1199|704.1027|1019.2575|1.4994659767200096||stop_hit
orb_low_t3|EVER|2026-05-05|paper|True|settled|||True|19.15|18.15|27.15|-1.0||stop_hit
orb_low_t3|AIP|2026-05-13|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 3.18 > 1.5x ATR 2.01|False||32.5||||
orb_low_t3|GO|2026-05-14|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.71 > 1.5x ATR 0.40|False||8.73||||
orb_low_t3|PONY|2026-05-26|paper|False|no_entry|never_crossed_orb_high||False||9.69||||
orb_low_t3|CORT|2026-07-30|live|False|settled||setup:stop_too_wide: 7.25 > 1.5x ATR 4.59|True|112.0|104.75|170.0|-0.20551724137930963||sma_trail_stop
orb_low_t3|AEVA|2026-08-06|live|False|settled||setup:stop_too_wide: 3.08 > 1.5x ATR 1.55|True|26.09|23.01|50.72999999999999|-1.0||stop_hit
orb_low_t3|ATRO|2026-08-12|live|False|settled||setup:stop_too_wide: 5.75 > 1.5x ATR 3.52|True|85.25|79.5|131.25|-0.528521739130435||stop_hit
orb_low_t3|HTFL|2026-08-14|live|False|settled||setup:stop_too_wide: 2.55 > 1.5x ATR 1.46|True|39.06|36.51|59.460000000000036|3.2768627450980317||stop_hit
orb_low_t3|BULL|2026-08-20|live|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.54 > 1.5x ATR 0.34|False||9.41||||
orb_low_t3|ROIV|2026-09-08|live|True|settled||setup:stop_too_wide: 1.90 > 1.5x ATR 1.21|True|40.4|38.5|55.59999999999999|-0.7263157894736824||stop_hit
orb_low_hard|TLRY|2026-04-23|paper|True|no_entry|never_crossed_orb_high|setup:stop_too_wide: 0.76 > 1.5x ATR 0.46|False||8.58||||
orb_low_hard|WST|2026-04-23|paper|True|settled|||True|315.0|307.5|375.0|-1.0||stop_hit
orb_low_hard|WKC|2026-04-24|paper|True|abstain|entry_window_gaps:1_of_29|setup:stop_too_wide: 2.70 > 1.5x ATR 0.56|False||27.1001||||
orb_low_hard|TTMI|2026-04-30|paper|True|no_entry|never_crossed_orb_high||False||170.0||||
orb_low_hard|BAND|2026-04-30|paper|True|open_at_horizon|||True|33.26|30.875|52.33999999999998||8.550663871418596|
orb_low_hard|STRL|2026-05-05|paper|True|settled|||True|739.1199|704.1027|1019.2575|1.4994659767200096||stop_hit
orb_low_hard|EVER|2026-05-05|paper|True|settled|||True|19.15|18.15|27.15|-1.0||stop_hit
orb_low_hard|AIP|2026-05-13|paper|False|no_entry|never_crossed_orb_high|setup:stop_too_wide: 3.18 > 1.5x ATR 2.01|False||32.5||||
