scan_date|ticker|max_gap|prev_close
2026-08-12|VELO|24.76|13.69
2026-08-13|AIRO|31.92|8.49
2026-08-13|AZ|13.68|6.47
2026-08-13|DERM|13.62|6.43
2026-08-13|FOSL|12.33|5.27
2026-08-13|JACK|17.06|18.77
2026-08-13|RRGB|22.02|8.16
2026-08-14|CPS|10.91|27.23
2026-08-14|IMXI|24.79|11.7
2026-08-17|CNXU|15.55|8.9
2026-08-17|DUOT|18.66|9.11
2026-08-18|DUOT|21.3|10.28
2026-08-18|FLXS|11.49|70.86
2026-08-19|ARCT|41.78|8.21
2026-08-19|OPHC|19.64|10.03
2026-08-20|HVT|9.66|28.27
2026-08-20|OPHC|9.01|10.1
2026-08-21|BKKT|10.13|7.5
2026-08-21|GLSI|10.58|15.31
2026-08-21|PAL|16.89|5.21
2026-08-24|BBCQ|9.68|9.71
2026-08-24|CAPR|10.33|6.29
2026-08-24|SUPX|15.96|8.52
2026-08-25|CAPR|17.21|6.8
2026-08-25|DTIL|9.59|8.45
2026-08-27|AVNW|11.53|20.91
2026-08-27|FWDI|11.47|5.93
2026-08-27|LTRX|16.04|5.66
2026-08-28|ANIK|34.36|20.84
2026-08-31|BETR|9.89|13.85
2026-08-31|CNXU|9.02|7.07
2026-08-31|TITN|13.94|17.86
2026-09-01|PRLD|12.32|5.6
2026-09-02|CABO|11.69|23.87
2026-09-02|DTIL|11.39|7.64
2026-09-02|EPRX|11.17|6.34
2026-09-02|FBLA|21.87|15.59
2026-09-02|JLHL|33.99|5.62
2026-09-03|CHPT|49.81|5.19
2026-09-03|GMTL|9.7|10.72
2026-09-04|BBCP|20.28|9.05
2026-09-04|PDEX|23.47|61.75
(154 rows)
