ticker	scan_date	adv_shares	n	last_close
LFST	2026-08-10	3282999.300000000000	20	10.84
LIND	2026-08-03	747497.900000000000	20	29.58
LNSR	2026-08-13	40495.500000000000	20	6.29
LYTS	2026-08-20	233617.150000000000	20	24.06
MAKO	2026-08-07	125396.400000000000	20	8.66
MARA	2026-08-20	43654399.550000000000	20	9.65
MASS	2026-07-29	235787.550000000000	20	7.03
MBIN	2026-07-29	154561.050000000000	20	48.77
MED	2026-08-04	162755.050000000000	20	9.74
MEI	2026-08-25	563517.450000000000	20	14.03
MF	2026-08-14	243063.105263157895	19	10
MITK	2026-08-07	615543.800000000000	20	16.81
MKTX	2026-07-30	514830.900000000000	20	125.73
MPLT	2026-07-29	1152378.850000000000	20	12.31
MRAM	2026-08-04	1108549.550000000000	20	15.45
MRDN	2026-08-03	74271.500000000000	20	11.27
MRNA	2026-08-19	5308214.350000000000	20	62.96
MRVI	2026-08-19	1981817.150000000000	20	5.74
MRVI	2026-08-20	2615054.950000000000	20	7.22
MRVL	2026-08-19	21329523.750000000000	20	216
MTW	2026-08-07	217988.300000000000	20	14.21
NAKA	2026-08-21	129189.450000000000	20	6.3
NBBK	2026-08-25	363735.900000000000	20	22.51
NCDL	2026-08-03	183749.800000000000	20	12.12
NCTY	2026-08-24	314767.250000000000	20	5.78
NGL	2026-08-05	176363.100000000000	20	15.85
NIPG	2026-07-27	29085.150000000000	20	15.5
NMAX	2026-08-14	738732.600000000000	20	9.49
NNE	2026-07-27	2282388.550000000000	20	15.59
NPKI	2026-07-30	865097.850000000000	20	12.05
NTRA	2026-08-07	1067346.900000000000	20	265.38
NUCL	2026-08-04	470282.450000000000	20	6.17
OBX	2026-08-14	54799.500000000000	8	18.92
OCUL	2026-08-17	2106824.650000000000	20	10.04
OEC	2026-08-06	546236.700000000000	20	6.56
OESX	2026-08-06	68907.100000000000	20	16.06
OESX	2026-08-25	99814.800000000000	20	20.99
OSPN	2026-08-05	374263.350000000000	20	16.21
PAL	2026-08-21	735643.950000000000	20	5.21
PAY	2026-08-04	1022791.050000000000	20	34.52
PBF	2026-07-30	2936049.000000000000	20	63.35
PDFS	2026-08-07	486335.250000000000	20	45.9
PGY	2026-07-30	2801113.050000000000	20	16.19
PICS	2026-08-04	221998.800000000000	20	12.8
PKOH	2026-08-06	71574.700000000000	20	41.61
PLPC	2026-07-30	89006.850000000000	20	283.51
PLRZ	2026-07-27	44740.350000000000	20	14.68
PN	2026-07-30	725036.450000000000	20	10.72
PN	2026-08-06	1227438.600000000000	20	6.89
PNW	2026-07-27	1200198.450000000000	20	106.06
PRE	2026-07-27	257603.100000000000	20	18.74
PRPL	2026-08-12	34554.350000000000	20	7.25
PSIX	2026-08-04	464586.800000000000	20	28.78
PSQH	2026-08-25	563836.100000000000	20	5.91
PWR	2026-07-30	1001642.400000000000	20	561.14
QBTS	2026-07-27	17922809.300000000000	20	16.21
QLYS	2026-08-05	743901.450000000000	20	161.06
QMCO	2026-07-30	836854.800000000000	20	10.45
QMLS	2026-07-28	687065.250000000000	8	6.47
QMLS	2026-08-11	500661.777777777778	18	5.95
QUAD	2026-07-29	135125.300000000000	20	8.41
RACC	2026-07-30	54270.200000000000	20	16.4999
RCMT	2026-08-17	42349.950000000000	20	35.05
RCUS	2026-08-06	1010774.250000000000	20	27.7
RDW	2026-08-07	16723182.350000000000	20	11.83
REPL	2026-08-04	6799748.250000000000	20	11.91
RFIL	2026-08-04	269542.750000000000	20	12.44
RGEN	2026-07-28	1164988.350000000000	20	131.06
RIGL	2026-08-05	302788.600000000000	20	38.7
RNA	2026-08-10	133302.500000000000	20	12.34
RNW	2026-08-11	1234708.050000000000	20	6.13
ROCK	2026-08-05	326468.050000000000	20	48.06
RPC	2026-08-21	579495.700000000000	20	8.63
RPD	2026-08-11	2423249.650000000000	20	11.61
RRGB	2026-08-13	205763.850000000000	20	8.16
RUM	2026-08-24	3443499.400000000000	20	9.05
SBGI	2026-08-06	475566.800000000000	20	13.91
SDGR	2026-08-06	914994.550000000000	20	16.4
SDOT	2026-07-27	5775198.000000000000	20	17.52
SDOT	2026-08-21	184874.350000000000	20	8.44
SEI	2026-08-07	4104569.950000000000	20	57.01
SGHT	2026-08-06	161648.100000000000	20	5.55
SHOP	2026-08-05	8404885.850000000000	20	123.3
SILC	2026-07-29	177007.950000000000	20	38.02
SLDB	2026-07-28	1429115.350000000000	20	7.89
SLN	2026-08-10	514605.500000000000	20	11.95
SMWB	2026-08-12	769985.200000000000	20	7.25
SPAI	2026-08-25	423725.200000000000	20	5.37
SPRC	2026-07-30	426654.500000000000	20	9.09
SRZN	2026-08-07	267011.900000000000	20	21.64
ST	2026-07-30	1693536.450000000000	20	46
STDN	2026-08-10	1346532.882352941176	17	8.44
STDN	2026-08-14	1112938.650000000000	20	12.09
STEM	2026-08-13	117310.300000000000	20	5.45
STGW	2026-07-30	1233159.050000000000	20	8.08
STI	2026-07-31	147545.750000000000	20	6.185
SUJA	2026-08-24	924399.850000000000	20	7.68
TBI	2026-08-05	232129.650000000000	20	7.69
TH	2026-08-10	980463.450000000000	20	16.51
TILE	2026-08-07	360611.300000000000	20	35.1
TMCR	2026-08-21	70591.500000000000	20	6.01
TNXP	2026-08-10	480521.850000000000	20	12.03
TRU	2026-07-28	2314343.250000000000	20	77.24
TRUP	2026-08-06	334698.800000000000	20	24.39
TSAT	2026-08-04	204566.250000000000	20	40.18
TSEM	2026-08-07	2228871.850000000000	20	224.7
TVTX	2026-08-05	1308224.100000000000	20	56.02
U	2026-08-06	8700825.100000000000	20	35.47
ULBI	2026-08-07	31025.200000000000	20	5.32
UMAC	2026-07-30	3538013.700000000000	20	17.26
VATE	2026-08-11	907232.050000000000	20	7.13
VMET	2026-08-20	208561.200000000000	20	10.51
VREX	2026-08-10	343771.050000000000	20	12.41
W	2026-08-04	3181883.400000000000	20	89.31
WATT	2026-07-29	231853.200000000000	20	13.23
WATT	2026-08-04	194668.850000000000	20	16.09
WEAV	2026-08-18	1260524.450000000000	20	5.53
WOLF	2026-07-30	3881506.000000000000	20	20.06
WPP	2026-08-06	393675.750000000000	20	20.61
WSHP	2026-08-11	66694.300000000000	20	5.08
WSM	2026-08-03	854664.950000000000	20	228.66
WYFI	2026-08-12	1925882.800000000000	20	24.22
WYFI	2026-08-13	1872535.450000000000	20	28.58
WYNN	2026-08-05	1420007.900000000000	20	97.6
XE	2026-08-13	5623726.900000000000	20	20.35
XHLD	2026-08-17	8368978.100000000000	20	5.88
YELP	2026-08-07	945425.450000000000	20	25.04
ZD	2026-08-07	536628.700000000000	20	50.95
