ticker|alert_date|source|skip_category|skip_reason|ep_score|gap_pct|catalyst_quality|open_d0|close_d0|ret_1d|ret_5d|ret_20d|max_high_5d|max_high_20d|refreshed_et
ONTO|2026-08-07|high_unentered|window_missed|window:out_of_orb: detected 09:52 ET|96|15.31|game_changer|300|308.3|-0.028833333333333256|0.10569999999999993||0.15633333333333327|0.17945400000000006|2026-08-21 17:18:10
ONTO|2026-08-07|scan_filter|outside_top20|outside top-20 gap cap (gap 15.0%)||14.96||300|308.3|-0.028833333333333256|0.10569999999999993||0.15633333333333327|0.17945400000000006|2026-08-21 17:18:10
PBYI|2026-08-07|scan_filter|outside_top20|outside top-20 gap cap (gap 10.7%)||10.71||8.15|8.91|0.06625766871165634|0.08343558282208585||0.15336196319018408|0.1668711656441717|2026-08-21 17:18:10
PCLA|2026-08-07|scan_filter|adv_low|quality filter: filter:adv_too_low: $343,511||20.29||7.46|8.11|0.22117962466487928|-0.09383378016085793||1.6290884718498657|1.6290884718498657|2026-08-21 17:18:10
PHR|2026-08-07|scan_filter|outside_top20|outside top-20 gap cap (gap 10.2%)||10.25||12.6|12.51|-0.01269841269841271|-0.02539682539682542||0.03253968253968255|0.03253968253968255|2026-08-21 17:18:10
PRAA|2026-08-07|scan_filter|duplicate_scan|already scored earlier today||17.96||20.33|19.79|-0.0673880964092473|0.013280865715691252||0.05705853418593213|0.05705853418593213|2026-08-21 17:18:10
PRAA|2026-08-07|moderate_alert|moderate_tier||84|16.61|strong|20.33|19.79|-0.0673880964092473|0.013280865715691252||0.05705853418593213|0.05705853418593213|2026-08-21 17:18:10
PSIX|2026-08-07|scan_filter|duplicate_scan|already scored earlier today||21.96||40.06|40.82|0.07338991512730897|0.01198202695956058||0.10259610584123813|0.10259610584123813|2026-08-21 17:18:10
PSIX|2026-08-07|moderate_alert|moderate_tier||68.4|25.77|routine|40.06|40.82|0.07338991512730897|0.01198202695956058||0.10259610584123813|0.10259610584123813|2026-08-21 17:18:10
PUBM|2026-08-07|scan_filter|duplicate_scan|already scored earlier today||29.45||17.36|17.78|0.023041474654378002|0.013248847926267305||0.06218317972350228|0.06218317972350228|2026-08-21 17:18:10
PUBM|2026-08-07|moderate_alert|moderate_tier||96|36.87|strong|17.36|17.78|0.023041474654378002|0.013248847926267305||0.06218317972350228|0.06218317972350228|2026-08-21 17:18:10
QNST|2026-08-07|scan_filter|duplicate_scan|already scored earlier today||32.06||19.69|21.08|0.11833417978669365|0.0411376333164042||0.13204672422549507|0.13204672422549507|2026-08-21 17:18:10
QNST|2026-08-07|high_unentered|high_unentered|broker:entry_cancelled: last $19.59 at/below trigger $19.80 at event|96|27.92|game_changer|19.69|21.08|0.11833417978669365|0.0411376333164042||0.13204672422549507|0.13204672422549507|2026-08-21 17:18:10
RDW|2026-08-07|scan_filter|outside_top20|outside top-20 gap cap (gap 10.9%)||10.9||12.42|13.59|0.05636070853462152|0.09339774557165863||0.12882447665056357|0.14251207729468596|2026-08-21 17:18:10
ROAD|2026-08-07|scan_filter|score_below_50|score 30 < 50 (catalyst=routine)|30|16.74|routine|110.2|119.74|0.07223230490018143|0.10299455535390194||0.12032667876588013|0.12032667876588013|2026-08-21 17:18:10
SEI|2026-08-07|scan_filter|outside_top20|outside top-20 gap cap (gap 11.2%)||11.19||57.93|57.96|0.0115656827205248|0.09269808389435522||0.09873985844985325|0.14085965820818236|2026-08-21 17:18:10
SENS|2026-08-07|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $328M < $500M||18.35||5.76|7.02|0.30902777777777785|0.35590277777777773||0.47916666666666663|0.6901041666666666|2026-08-21 17:18:10
SPT|2026-08-07|scan_filter|mcap_low|quality filter: filter:mcap_too_small: $492M < $500M||24.66||9.61|10.34|0.045785639958376825|0.029136316337148922||0.0988553590010407|0.0988553590010407|2026-08-21 17:18:10
TE|2026-08-07|scan_filter|outside_top20|outside top-20 gap cap (gap 10.4%)||10.43||5.8|5.85|-0.0844827586206897|-0.11896551724137923||0.0844827586206897|0.0844827586206897|2026-08-21 17:18:10
TILE|2026-08-07|scan_filter|outside_top20|outside top-20 gap cap (gap 10.5%)||10.51||37.75|38.29|-0.0068874172185429934|0.005562913907284791||0.0728476821192053|0.0728476821192053|2026-08-21 17:18:10
TWLO|2026-08-07|scan_filter|duplicate_scan|already scored earlier today||22.37||235.25|241.28|0.06295430393198725|0.012539851222104097||0.0982040382571733|0.0982040382571733|2026-08-21 17:18:10
TWLO|2026-08-07|high_unentered|cap_blocked|block:max_positions: 5/5 (mode=live)|84|17.97|strong|235.25|241.28|0.06295430393198725|0.012539851222104097||0.0982040382571733|0.0982040382571733|2026-08-21 17:18:10
ULBI|2026-08-07|scan_filter|outside_top20|outside top-20 gap cap (gap 11.1%)||11.09||6.1|6.35|0.137704918032787|0.2311475409836066||0.2540983606557378|0.2557377049180329|2026-08-21 17:18:10
UUUU|2026-08-07|scan_filter|outside_top20|outside top-20 gap cap (gap 10.8%)||10.78||13.87|14.14|0.030281182408074977|0.0886806056236482||0.10793078586878167|0.12112472963230005|2026-08-21 17:18:10
