CWVX|2026-04-14|scan_filter|outside top-20 gap cap (gap 9.9%)|outside_top20||8.06|0.04||41.2|42.57|0.06504854368932038|0|-0.1837378640776699|0.12135922330097086|0.38252427184466015|2026-05-14 21:02:33.637285+00
ETHT|2026-04-14|scan_filter|outside top-20 gap cap (gap 11.3%)|outside_top20||10.06|0.06||18.995|18.06|0.0018425901553040347|-0.07028165306659652|-0.09976309555146089|0.07659910502763875|0.07659910502763875|2026-05-14 21:02:33.637285+00
ETHU|2026-04-14|scan_filter|outside top-20 gap cap (gap 11.3%)|outside_top20||10.01|0.08||28.43|27|0|-0.06788603587759408|-0.09497010200492435|0.07703130495954982|0.07703130495954982|2026-05-14 21:02:33.637285+00
ETU|2026-04-14|scan_filter|outside top-20 gap cap (gap 11.2%)|outside_top20||10.95|0.05||7.515|7.15|-0.0006653359946772979|-0.0698602794411177|-0.09514304723885561|0.07385229540918171|0.07385229540918171|2026-05-14 21:02:33.637285+00
GLXU|2026-04-14|scan_filter|outside top-20 gap cap (gap 10.1%)|outside_top20||8.56|0.03||8.19|8.16|0.023199023199023356|0.08730158730158728|0.652014652014652|0.2991452991452993|0.750915750915751|2026-05-14 21:02:33.637285+00
GSAT|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.6%)|outside_top20||10.44|0.04||78.8|79.91|0.023350253807106643|0.019670050761421285|0.04911167512690361|0.028807106598984722|0.05329949238578684|2026-05-14 21:02:33.637285+00
HODU|2026-04-14|scan_filter|outside top-20 gap cap (gap 14.0%)|outside_top20||8.54|0.14||8.24|9.02|0.32160194174757284|0.28194174757281554|0.0036407766990290487|0.4970509708737863|0.4970509708737863|2026-05-14 21:02:33.637285+00
HOOG|2026-04-14|scan_filter|outside top-20 gap cap (gap 14.2%)|outside_top20||8.19|0.21||20|21.933|0.3244999999999999|0.2824999999999999|0.00649999999999995|0.500005|0.500005|2026-05-14 21:02:33.637285+00
HOOW|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.1%)|outside_top20||8.07|0.2||23.98|25.5|0.19474562135112586|0.1613844870725605|-0.009174311926605457|0.28523769808173477|0.28523769808173477|2026-05-14 21:02:33.637285+00
HOOX|2026-04-14|scan_filter|low rel volume 0.3x < 2.0x|session_rvol_low||8.56|0.1||22.64|24.86|0.3334805653710248|0.2866254416961131|0.00574204946996462|0.5044169611307421|0.5044169611307421|2026-05-14 21:02:33.637285+00
IMSR|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.0%)|outside_top20||8.04|0.18||7|7.05|0.022857142857142878|0.012857142857142836|0.05428571428571427|0.16428571428571434|0.2771285714285714|2026-05-14 21:02:33.637285+00
IONL|2026-04-14|scan_filter|low rel volume 0.9x < 2.0x|session_rvol_low||12.49|0.41||12.9|15.92|0.7534883720930233|0.9844961240310078|1.7023720930232558|1.1992248062015505|2.0232558139534884|2026-05-14 21:02:33.637285+00
IONQ|2026-04-14|scan_filter|outside top-20 gap cap (gap 9.7%)|outside_top20||9.27|0.12||31.78|35.76|0.3609188168659534|0.4562617998741347|0.7580239144115795|0.5333543108873504|0.8612334801762114|2026-05-14 21:02:33.637285+00
IONX|2026-04-14|scan_filter|low rel volume 0.7x < 2.0x|session_rvol_low||12.9|0.29||24.85|30.54|0.7436619718309857|0.980281690140845|1.6808853118712275|1.1875251509054325|1.9979879275653922|2026-05-14 21:02:33.637285+00
IRDM|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.9%)|outside_top20||9.07|0.04||37.63|36.12|0.009699707680042382|0.14084507042253513|0.1070954026043049|0.17883603507839482|0.17883603507839482|2026-05-14 21:02:33.637285+00
IRE|2026-04-14|scan_filter|outside top-20 gap cap (gap 9.6%)|outside_top20||8.38|0.07||22.26|24.18|0.15498652291105117|-0.023360287511231047|0.3926325247079963|0.1994609164420484|0.8787061994609163|2026-05-14 21:02:33.637285+00
IREG|2026-04-14|scan_filter|outside top-20 gap cap (gap 10.1%)|outside_top20||8.98|0.1||16.52|17.87|0.14588377723970947|-0.024981840193704658|0.41202179176755444|0.19309927360774826|0.8765133171912833|2026-05-14 21:02:33.637285+00
IREX|2026-04-14|scan_filter|outside top-20 gap cap (gap 9.7%)|outside_top20||8.13|0.05||29.79|32.335|0.15072171869754958|-0.025176233635448138|0.4011413225914738|0.19738167170191348|0.8935884525008392|2026-05-14 21:02:33.637285+00
LCID|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.8%)|outside_top20||10.48|0.1||9.68|8.8|-0.1518595041322313|-0.26549586776859496|-0.37913223140495866|0.042355371900826465|0.042355371900826465|2026-05-14 21:02:33.637285+00
LUNL|2026-04-14|scan_filter|outside top-20 gap cap (gap 12.1%)|outside_top20||9.78|0.05||21.57|18.03|-0.14974501622624017|0.12749188687992583|0.3625405656003709|0.28743625405656|0.47890588780713944|2026-05-14 21:02:33.637285+00
MAKO|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.0%)|outside_top20||10.85|0.06||7.31|7.65|0.07797537619699046|0.05198358413132706|0.12448700410396732|0.15047879616963072|0.15047879616963072|2026-05-14 21:02:33.637285+00
MGTX|2026-04-14|scan_filter|outside top-20 gap cap (gap 8.8%)|outside_top20||8.83|0.14||9.78|11.29|0.15030674846625774|0.039877300613496994|0.0010224948875255406|0.21164621676891623|0.21164621676891623|2026-05-14 21:02:33.637285+00
