q	scan_date	ticker	gap_pct	prev_close	rel_volume	filter_reason	ep_score	score_tier	catalyst_quality	adv	pm_rvol	rank_by_gap
scan	2026-08-24	BAK	5.527638190954779	1.99		filter:universe_prev_close_too_low: prior close $1.99 < $5.00 floor						
scan	2026-08-24	BBCQ	9.68	9.71	0.86	quality filter: filter:mcap_too_small: $372M < $500M				219771.2533625	95.759	4
scan	2026-08-24	BCAB	7.232704402515722	3.18		filter:universe_prev_close_too_low: prior close $3.18 < $5.00 floor						
scan	2026-08-24	BCTX	10.073710073710076	4.07		filter:universe_prev_close_too_low: prior close $4.07 < $5.00 floor						
scan	2026-08-24	BDRX	6.2992125984252025	1.27		filter:universe_prev_close_too_low: prior close $1.27 < $5.00 floor						
scan	2026-08-24	BGL	5.1724137931034395	0.203		filter:universe_prev_close_too_low: prior close $0.20 < $5.00 floor						
scan	2026-08-24	BGM	6.3286313381624115	0.2623		filter:universe_prev_close_too_low: prior close $0.26 < $5.00 floor						
scan	2026-08-24	BIOX	6.41868904513495	0.4409		filter:universe_prev_close_too_low: prior close $0.44 < $5.00 floor						
scan	2026-08-24	BIYA	5.485232067510544	2.37		filter:universe_prev_close_too_low: prior close $2.37 < $5.00 floor						
scan	2026-08-24	BMEA	16.07299270072992	1.37		filter:universe_prev_close_too_low: prior close $1.37 < $5.00 floor						
scan	2026-08-24	BMR	6.8702290076335775	1.31		filter:universe_prev_close_too_low: prior close $1.31 < $5.00 floor						
scan	2026-08-24	BNR	5.521472392638047	9.78		filter:universe_prev_day_illiquid: prior-day volume 4,631 < 50,000 shares floor						
scan	2026-08-24	BOLD	8.333333333333332	3		filter:universe_prev_close_too_low: prior close $3.00 < $5.00 floor						
scan	2026-08-24	BRLS	8.01621621621621	1.85		filter:universe_prev_close_too_low: prior close $1.85 < $5.00 floor						
scan	2026-08-24	BRLT	5.32330827067669	1.33		filter:universe_prev_close_too_low: prior close $1.33 < $5.00 floor						
scan	2026-08-24	BRNX	10.455764075067027	3.73		filter:universe_prev_close_too_low: prior close $3.73 < $5.00 floor						
scan	2026-08-24	BRR	5.116279069767436	2.15		filter:universe_prev_close_too_low: prior close $2.15 < $5.00 floor						
scan	2026-08-24	BTCS	5.185185185185174	1.35		filter:universe_prev_close_too_low: prior close $1.35 < $5.00 floor						
scan	2026-08-24	BTCT	35.184210526315795	1.14		filter:universe_prev_close_too_low: prior close $1.14 < $5.00 floor						
scan	2026-08-24	CAAS	6.209850107066382	4.67		filter:universe_prev_close_too_low: prior close $4.67 < $5.00 floor						
scan	2026-08-24	CALC	5.115223463687149	0.5728		filter:universe_prev_close_too_low: prior close $0.57 < $5.00 floor						
scan	2026-08-24	CAN	9.83098591549297	0.355		filter:universe_prev_close_too_low: prior close $0.35 < $5.00 floor						
scan	2026-08-24	CANG	16.102803738317746	2.14		filter:universe_prev_close_too_low: prior close $2.14 < $5.00 floor						
scan	2026-08-24	CAPR	10.33	6.29	0.06	quality filter: filter:mcap_too_small: $466M < $500M				7703041.160356499	1.637	4
scan	2026-08-24	CBAT	6.8731026108075275	0.8235		filter:universe_prev_close_too_low: prior close $0.82 < $5.00 floor						
scan	2026-08-24	CBK	6.477373558118893	33.81		filter:universe_prev_day_illiquid: prior-day volume 43,997 < 50,000 shares floor						
scan	2026-08-24	CCTG	13.838600797790724	0.6518		filter:universe_prev_close_too_low: prior close $0.65 < $5.00 floor						
scan	2026-08-24	CD	7.520891364902507	3.59		filter:universe_prev_close_too_low: prior close $3.59 < $5.00 floor						
scan	2026-08-24	CDIO	6.891625615763565	2.03		filter:universe_prev_close_too_low: prior close $2.03 < $5.00 floor						
scan	2026-08-24	CDTG	5.932203389830514	1.18		filter:universe_prev_close_too_low: prior close $1.18 < $5.00 floor						
scan	2026-08-24	CIRC	5.25803310613437	0.6162		filter:universe_prev_close_too_low: prior close $0.62 < $5.00 floor						
scan	2026-08-24	CLGN	6.833093294927182	0.31245		filter:universe_prev_close_too_low: prior close $0.31 < $5.00 floor						
scan	2026-08-24	CLIK	5.035971223021588	1.39		filter:universe_prev_close_too_low: prior close $1.39 < $5.00 floor						
scan	2026-08-24	CLRO	6.741573033707872	5.34		filter:universe_prev_day_illiquid: prior-day volume 31,214 < 50,000 shares floor						
scan	2026-08-24	CMND	5.172413793103453	1.74		filter:universe_prev_close_too_low: prior close $1.74 < $5.00 floor						
scan	2026-08-24	CNSP	6.17324185248713	5.83		filter:universe_prev_day_illiquid: prior-day volume 8,111 < 50,000 shares floor						
scan	2026-08-24	CNTN	5.9360730593607265	2.19		filter:universe_prev_close_too_low: prior close $2.19 < $5.00 floor						
scan	2026-08-24	CODX	7.438016528925627	1.21		filter:universe_prev_close_too_low: prior close $1.21 < $5.00 floor						
scan	2026-08-24	COE	5.599513085818635	16.43		filter:universe_prev_day_illiquid: prior-day volume 12,705 < 50,000 shares floor						
scan	2026-08-24	COOK	5.55455365193868	55.45		filter:universe_prev_day_illiquid: prior-day volume 15,128 < 50,000 shares floor						
scan	2026-08-24	COPR	12.359550561797755	2.67		filter:universe_prev_close_too_low: prior close $2.67 < $5.00 floor						
scan	2026-08-24	CRDF	11.36234518804681	0.8801		filter:universe_prev_close_too_low: prior close $0.88 < $5.00 floor						
scan	2026-08-24	CVRX	12.161971830985921	2.84		filter:universe_prev_close_too_low: prior close $2.84 < $5.00 floor						
scan	2026-08-24	CYAB	8.67381111855326	0.2986		filter:universe_prev_close_too_low: prior close $0.30 < $5.00 floor						
scan	2026-08-24	CYPH	23.94366197183099	1.42		filter:universe_prev_close_too_low: prior close $1.42 < $5.00 floor						
scan	2026-08-24	DAIC	195.77464788732397	0.426		filter:universe_prev_close_too_low: prior close $0.43 < $5.00 floor						
scan	2026-08-24	DDC	6.059096945551125	0.6024		filter:universe_prev_close_too_low: prior close $0.60 < $5.00 floor						
scan	2026-08-24	DEFT	5.618368411897721	0.5749		filter:universe_prev_close_too_low: prior close $0.57 < $5.00 floor						
scan	2026-08-24	DETX	6.162891986062716	3.6736		filter:universe_prev_close_too_low: prior close $3.67 < $5.00 floor						
scan	2026-08-24	DFDV	5.568527918781721	3.94		filter:universe_prev_close_too_low: prior close $3.94 < $5.00 floor						
scan	2026-08-24	DFSC	5.14193548387096	1.55		filter:universe_prev_close_too_low: prior close $1.55 < $5.00 floor						
scan	2026-08-24	DGNX	7.812499999999989	1.28		filter:universe_prev_close_too_low: prior close $1.28 < $5.00 floor						
scan	2026-08-24	DIT	5.992085924250982	70.76		filter:universe_prev_day_illiquid: prior-day volume 833 < 50,000 shares floor						
scan	2026-08-24	DOMH	5.813953488372089	2.58		filter:universe_prev_close_too_low: prior close $2.58 < $5.00 floor						
scan	2026-08-24	DTCX	5.725190839694653	2.62		filter:universe_prev_close_too_low: prior close $2.62 < $5.00 floor						
scan	2026-08-24	DWTX	5.220883534136542	2.49		filter:universe_prev_close_too_low: prior close $2.49 < $5.00 floor						
scan	2026-08-24	DXST	19.841269841269842	2.52		filter:universe_prev_close_too_low: prior close $2.52 < $5.00 floor						
scan	2026-08-24	EDSA	5.191873589164795	4.43		filter:universe_prev_close_too_low: prior close $4.43 < $5.00 floor						
scan	2026-08-24	EMAT	16.624685138539032	3.97		filter:universe_prev_close_too_low: prior close $3.97 < $5.00 floor						
scan	2026-08-24	ENLV	8.163265306122456	1.47		filter:universe_prev_close_too_low: prior close $1.47 < $5.00 floor						
scan	2026-08-24	EPOW	7.118946663691136	0.4481		filter:universe_prev_close_too_low: prior close $0.45 < $5.00 floor						
scan	2026-08-24	EXYN	14.479638009049767	2.21		filter:universe_prev_close_too_low: prior close $2.21 < $5.00 floor						
scan	2026-08-24	FAC	5.422993492407809	4.61		filter:universe_prev_close_too_low: prior close $4.61 < $5.00 floor						
scan	2026-08-24	FNGR	8.310626702997267	0.2202		filter:universe_prev_close_too_low: prior close $0.22 < $5.00 floor						
scan	2026-08-24	FOXX	6.060606060606051	2.97		filter:universe_prev_close_too_low: prior close $2.97 < $5.00 floor						
scan	2026-08-24	GEMI	6.542056074766339	4.28		filter:universe_prev_close_too_low: prior close $4.28 < $5.00 floor						
scan	2026-08-24	GETY	5.005688282138791	0.2637		filter:universe_prev_close_too_low: prior close $0.26 < $5.00 floor						
scan	2026-08-24	GGR	25.418502202643168	2.27		filter:universe_prev_close_too_low: prior close $2.27 < $5.00 floor						
scan	2026-08-24	GIFT	5.318520269471699	0.8461		filter:universe_prev_close_too_low: prior close $0.85 < $5.00 floor						
scan	2026-08-24	GNPX	5.822784810126571	3.95		filter:universe_prev_close_too_low: prior close $3.95 < $5.00 floor						
scan	2026-08-24	GOAI	10.708520179372192	2.23		filter:universe_prev_close_too_low: prior close $2.23 < $5.00 floor						
scan	2026-08-24	GOVX	9.926734820322181	0.6456		filter:universe_prev_close_too_low: prior close $0.65 < $5.00 floor						
scan	2026-08-24	GRI	9.696969696969706	1.65		filter:universe_prev_close_too_low: prior close $1.65 < $5.00 floor						
scan	2026-08-24	GTEC	5.198477433387718	0.9195		filter:universe_prev_close_too_low: prior close $0.92 < $5.00 floor						
scan	2026-08-24	HCAT	5.228758169934645	1.53		filter:universe_prev_close_too_low: prior close $1.53 < $5.00 floor						
scan	2026-08-24	HCTI	5.371571639922602	0.8787		filter:universe_prev_close_too_low: prior close $0.88 < $5.00 floor						
scan	2026-08-24	HCWB	6.422018348623839	2.18		filter:universe_prev_close_too_low: prior close $2.18 < $5.00 floor						
scan	2026-08-24	HMR	5.185185185185174	1.35		filter:universe_prev_close_too_low: prior close $1.35 < $5.00 floor						
scan	2026-08-24	HODO	8.22510822510822	0.462		filter:universe_prev_close_too_low: prior close $0.46 < $5.00 floor						
scan	2026-08-24	HPAI	7.102337190832765	0.4407		filter:universe_prev_close_too_low: prior close $0.44 < $5.00 floor						
scan	2026-08-24	HSCS	6.071428571428585	2.8		filter:universe_prev_close_too_low: prior close $2.80 < $5.00 floor						
scan	2026-08-24	HSDT	5.195238095238083	2.1		filter:universe_prev_close_too_low: prior close $2.10 < $5.00 floor						
scan	2026-08-24	HUMA	5.29430084085955	0.6422		filter:universe_prev_close_too_low: prior close $0.64 < $5.00 floor						
scan	2026-08-24	HURA	7.499999999999996	2		filter:universe_prev_close_too_low: prior close $2.00 < $5.00 floor						
scan	2026-08-24	HVII	17.35	6.385	1.3	quality filter: filter:adv_too_low: $600,114				55795.009072500005		2
scan	2026-08-24	HYNE	8.043217286914766	16.66		filter:universe_prev_day_illiquid: prior-day volume 22,299 < 50,000 shares floor						
scan	2026-08-24	HYPD	6.273584905660377	3.18		filter:universe_prev_close_too_low: prior close $3.18 < $5.00 floor						
scan	2026-08-24	ICCM	7.530864197530857	2.43		filter:universe_prev_close_too_low: prior close $2.43 < $5.00 floor						
