d	ticker	tick_et	rt_gap	delayed_gap	basis	q1_pass	quote_state	pcv	auth
2026-08-04	REPL	09:35	12.17	2.41	latest_trade	true	fresh	true	false
2026-08-04	HLMN	09:35	11.79		latest_trade	true	fresh	true	false
2026-08-04	NUCL	09:40	10.05	2.11	latest_trade	true	fresh	true	false
2026-08-04	PSIX	09:40	13.55	3.2	latest_trade	true	fresh	true	false
2026-08-04	WATT	09:40	11.87	2.18	latest_trade	true	fresh	true	false
2026-08-04	ARVN	09:40	14.52	1.21	latest_trade	true	fresh	true	false
2026-08-05	FTK	07:05	10.88		latest_trade	true	fresh	true	false
2026-08-05	KMT	07:05	10.93	4.08	latest_trade	true	fresh	true	false
2026-08-05	SHOP	07:05	20.15	-1.96	latest_trade	true	fresh	true	false
2026-08-05	NGL	07:10	10.41		latest_trade	true	fresh	true	false
2026-08-05	OSPN	07:20	11.04		latest_trade	true	fresh	true	false
2026-08-05	TVTX	07:20	14.1		latest_trade	true	fresh	true	false
2026-08-05	INTA	07:20	10.28		latest_trade	true	fresh	true	false
2026-08-05	TBI	07:40	12.48		latest_trade	true	fresh	true	false
2026-08-05	QLYS	07:45	12.36		latest_trade	false	stale	true	false
2026-08-05	IMC	09:05	13.38	4.99	latest_trade	true	fresh	true	false
2026-08-05	ROCK	09:31	10.28	3.31	latest_trade	true	fresh	true	false
2026-08-05	AMWL	09:31	14.97		latest_trade	true	fresh	true	false
2026-08-05	RIGL	09:31	10.03		latest_trade	true	fresh	true	false
2026-08-05	WYNN	09:40	10.76	4.0	latest_trade	true	fresh	true	false
2026-08-05	HGTY	09:40	11.69	4.18	latest_trade	true	fresh	true	false
2026-08-05	ZETA	09:45	16.41	1.81	latest_trade	true	fresh	true	false
2026-08-05	AXTI	09:45	13.27	-2.59	latest_trade	true	fresh	true	false
2026-08-05	BVS	09:45	11.62	-5.44	latest_trade	true	fresh	true	false
2026-08-06	LFST	07:05	10.41		latest_trade	true	fresh	true	false
2026-08-06	U	07:05	19.65	0.23	latest_trade	true	fresh	true	false
2026-08-06	INSM	07:10	17.91	1.47	latest_trade	true	fresh	true	false
2026-08-06	AMIX	07:15	12.3	3.39	latest_trade	true	fresh	true	false
2026-08-06	PN	07:55	12.84	1.6	latest_trade	true	fresh	true	false
2026-08-06	FET	08:05	13.74		minute_bar	false	fresh	true	false
2026-08-06	WPP	09:15	26.44	0.0	latest_trade	true	fresh	true	false
2026-08-06	RCUS	09:25	15.52	-0.36	latest_trade	false	stale	true	false
2026-08-06	OEC	09:30	10.82	3.66	latest_trade	true	fresh	true	false
2026-08-06	TRUP	09:30	12.01	4.55	latest_trade	true	fresh	true	false
2026-08-06	ZVRA	09:35	12.58	1.61	latest_trade	true	fresh	true	false
2026-08-06	SGHT	09:35	21.53	-0.72	latest_trade	true	fresh	true	false
2026-08-06	TRUP	09:35	18.0	4.55	latest_trade	true	fresh	true	false
2026-08-06	ATNI	09:35	18.08		latest_trade	false	stale	true	false
2026-08-06	ALNT	09:35	14.08	4.5	latest_trade	true	fresh	true	false
2026-08-06	ALNT	09:40	14.94	4.5	latest_trade	true	fresh	true	false
2026-08-06	ZVRA	09:40	12.35	1.53	latest_trade	true	fresh	true	false
2026-08-06	AVNT	09:40	13.57	1.98	latest_trade	true	fresh	true	false
2026-08-06	CDRE	09:40	15.6	3.8	latest_trade	true	fresh	true	false
2026-08-06	ADMA	09:40	11.16	0.1	latest_trade	true	fresh	true	false
2026-08-06	SGHT	09:40	19.13	-0.72	latest_trade	true	fresh	true	false
2026-08-06	SDGR	09:40	10.24	4.63	latest_trade	true	fresh	true	false
2026-08-06	TRUP	09:40	16.03	4.55	latest_trade	true	fresh	true	false
2026-08-06	ATNI	09:40	19.2		latest_trade	false	stale	true	false
2026-08-06	SBGI	09:45	11.75	4.67	latest_trade	true	fresh	true	false
2026-08-06	PKOH	09:45	11.06	1.18	latest_trade	false	stale	true	false
2026-08-06	U	09:45	11.86	1.66	latest_trade	true	fresh	true	false
2026-08-06	OESX	09:50	12.05	2.74	latest_trade	false	stale	true	false
2026-08-07	NTRA	07:15	13.42		latest_trade	true	fresh	true	false
2026-08-07	ACET	07:20	11.66		latest_trade	false	stale	true	false
2026-08-07	SEI	07:25	11.19	1.67	latest_trade	false	stale	true	false
2026-08-07	ULBI	07:25	11.97	-0.94	latest_trade	true	fresh	true	false
2026-08-07	MAKO	07:50	12.95	3.93	minute_bar	false	fresh	true	false
2026-08-07	FRD	07:50	29.9		latest_trade	true	fresh	true	false
2026-08-07	MTW	08:35	19.63		latest_trade	true	fresh	true	false
2026-08-07	MITK	08:40	16.4		latest_trade	true	fresh	true	false
2026-08-07	MITK	08:55	18.5		latest_trade	false	stale	true	false
2026-08-07	GRDN	09:31	11.58	0.0	latest_trade	true	fresh	true	false
2026-08-07	SRZN	09:31	20.06	3.51	latest_trade	true	fresh	true	false
2026-08-07	CON	09:31	12.21		latest_trade	true	fresh	true	false
2026-08-07	HBB	09:35	21.3		latest_trade	true	fresh	true	false
2026-08-07	KRT	09:35	15.08		latest_trade	true	fresh	true	false
2026-08-07	ICUI	09:35	10.08		latest_trade	true	fresh	true	false
2026-08-07	YELP	09:40	13.6	0.52	latest_trade	true	fresh	true	false
