cohort	ticker	scan_date	max_gap	prev_close	n_min_bars	has_930	artifact	art_reason	status_0931	reason_0931	entered_0931	entry_px_0931	stop_0931	target_0931	realized_r_0931	mark_r_0931	final_0931	partial_0931	status_0936	reason_0936	entered_0936	entry_px_0936	stop_0936	target_0936	realized_r_0936	mark_r_0936	final_0936	partial_0936
excluded	ATNI	2026-08-06	19.2	24.01	180	True	False		abstain	entry_window_gaps:15_of_29	False		26.720000000000002					False	abstain	entry_window_gaps:14_of_24	False		26.720000000000002					False
excluded	DCTH	2026-08-06	15.6	12.63	384	True	False		settled		True	14.37	13.65	15.109999999999998	2.5462962962963003		sma_trail_stop	True	no_entry	triggered_above_limit_never_filled	False		13.65					False
excluded	EOLS	2026-08-06	10.19	6.18	369	True	False		no_trade	setup:stop_too_wide: 0.46 > 1.5x ATR 0.28	False							False	no_trade	setup:stop_too_wide: 0.46 > 1.5x ATR 0.28	False							False
excluded	OPRT	2026-08-06	16.34	6.06	364	True	False		settled		True	6.88	6.630000000000001	7.159999999999999	1.9866666666666717		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		6.630000000000001					False
excluded	FNKO	2026-08-07	30.3	5.28	373	True	False		no_trade	setup:stop_too_wide: 0.52 > 1.5x ATR 0.33	False							False	no_trade	setup:stop_too_wide: 0.52 > 1.5x ATR 0.33	False							False
excluded	FRD	2026-08-07	29.9	37.72	219	True	False		settled		True	43.21	36.879999999999995	49.75000000000001	0.03957345971564016		stop_hit	False	settled		True	43.0	36.879999999999995	49.120000000000005	0.07524509803921617		stop_hit	False
excluded	SENS	2026-08-07	18.35	5.15	357	True	False		settled		True	5.9	5.310200000000001	6.4998000000000005	3.993331072680007		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		5.310200000000001					False
excluded	SPT	2026-08-07	24.66	8.19	376	True	False		settled		True	9.8	9.120000000000001	10.48	0.22549019607843013		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		9.120000000000001					False
excluded	BWMN	2026-08-10	55.93	27.23	379	True	False		settled		True	42.4	42.1	42.699999999999996	0.5033333333333493		stop_hit	False	settled		True	42.4	42.1	42.699999999999996	0.5033333333333493		stop_hit	False
excluded	RNA	2026-08-10	13.45	12.34	112	True	False		settled		True	12.31	12.195	12.430000000000001	0.28985507246377173		stop_hit	True	settled		True	12.31	12.195	12.430000000000001	0.28985507246377173		stop_hit	True
excluded	FENC	2026-08-11	12.7	10.94	266	True	False		no_trade	setup:stop_too_wide: 1.09 > 1.5x ATR 0.61	False							False	no_trade	setup:stop_too_wide: 1.09 > 1.5x ATR 0.61	False							False
excluded	FF	2026-08-11	30.43	5.16	375	True	False		settled		True	6.88	6.19	7.579999999999999	-1.0		stop_hit	False	settled		True	6.87	6.19	7.55	-1.0		stop_hit	False
excluded	QMCO	2026-08-11	38.12	11.78	390	True	False		settled		True	15.415	12.58	18.264999999999997	1.3884773662551448		stop_hit	True	no_entry	triggered_above_limit_never_filled	False		12.58					False
excluded	AII	2026-08-12	21.3	20.19	317	True	False		settled		True	24.68	24.2	25.28	-1.0		stop_hit	False	settled		True	24.68	24.2	25.28	-1.0		stop_hit	False
excluded	LENZ	2026-08-12	24.18	5.21	309	True	False		no_trade	setup:stop_too_wide: 0.61 > 1.5x ATR 0.38	False							False	no_trade	setup:stop_too_wide: 0.61 > 1.5x ATR 0.38	False							False
excluded	PESI	2026-08-12	17.19	17.45	362	True	False		settled		True	19.89	17.229999999999997	22.550000000000004	-0.909022556390976		stop_hit	False	settled		True	19.99	17.229999999999997	22.849999999999998	-0.9123188405797086		stop_hit	False
