ticker	alert_date	gap_pct	ep_score	score_tier	catalyst_quality	in_active_theme	rel_volume	pm_rvol
SAIC	2026-06-01	15.51	50.4	MODERATE	routine		0.13	4.146
SKM	2026-06-01	10.69	50.4	MODERATE	strong		0.49	4.687
TNDM	2026-06-01	10.52	54.7	MODERATE	strong		0.01	4.812
CAMT	2026-06-02	10.37	50.4	MODERATE	strong		0.05	6.085
GRRR	2026-06-02	17.64	100.8	HIGH	strong		0.36	7.418
HPE	2026-06-02	25.28	115.2	HIGH	strong		0.11	74.854
LAC	2026-06-02	11.43	54.7	MODERATE	strong		0.05	4.983
MRVL	2026-06-02	24.87	115.2	HIGH	strong		0.23	16.809
ABVX	2026-06-03	15.14	50.4	MODERATE	routine		0.51	14.65
NVTS	2026-06-03	15.39	84	HIGH	strong		0.07	3.27
PGY	2026-06-04	10.21	66	HIGH	strong		0.2	1.45
RUM	2026-06-04	15.49	84	HIGH	strong		0.17	2.983
AGX	2026-06-05	10.96	86.4	HIGH	game_changer		0.01	6.778
MRLN	2026-06-05	27.99	60	MODERATE	routine		1.34	481.449
TTAN	2026-06-05	16.28	100.8	HIGH	strong		0	3.281
NRIX	2026-06-08	11.5	75.6	HIGH	game_changer	f	3.68	1436.935
CBRL	2026-06-10	25.33	54.7	MODERATE	routine	f	0.92	16.482
ELVN	2026-06-11	18.33	84	HIGH	strong	f	0.03	12.133
IDCC	2026-06-11	15.2	84	HIGH	strong	f	0.26	6.992
NAVN	2026-06-11	17.87	80	HIGH	game_changer	f	0.03	49.285
AKTS	2026-06-12	11.92	54	HIGH	strong	f	0.27	2.74
SHAZ	2026-06-12	11.87	86.4	HIGH	game_changer	f	0.13	14.982
AUGO	2026-06-15	13.39	50.4	none	routine	f	0.1	1.606
HQ	2026-06-15	19.71	84	MODERATE	strong	f	0.56	
HYMC	2026-06-15	13.82	53.3	MODERATE	routine	f	0.13	1.083
IDR	2026-06-15	18.71	50.4	none	routine	f	0.24	2.837
MMYT	2026-06-15	12.81	60.5	MODERATE	routine	f	0.15	2.529
XE	2026-06-15	17.64	50.4	none	routine	f	0.18	1.193
RXT	2026-06-16	17.5	84	HIGH	strong	f	0.03	3.559
AEHR	2026-06-17	15.87	70	MODERATE	strong	t	0.13	1.099
JBL	2026-06-17	10.77	60	HIGH	game_changer	f	0.12	5.178
LZB	2026-06-17	26.5	54	HIGH	routine	f	0.75	27.794
QURE	2026-06-17	75.2	80	HIGH	game_changer	f	0.34	23.989
SWBI	2026-06-18	15.59	70	HIGH	strong	f	0.06	45.354
UUUU	2026-06-18	12.36	72	HIGH	game_changer	f	0.05	6.118
DFTX	2026-06-22	14.38	60	HIGH	game_changer	f	0.03	40.925
JBIO	2026-06-22	10.11	66	none	strong	f	0.31	4.35
MLTX	2026-06-22	19.1	96	HIGH	game_changer	f	0.06	51.633
SYRE	2026-06-22	12.35	60	HIGH	game_changer	t	0.01	11.276
ABSI	2026-06-24	16.33	100.8	HIGH	strong	f	0.08	20.544
FCEL	2026-06-24	17.51	84	HIGH	strong	t	0.01	1.817
WEN	2026-06-24	25.34	54	MODERATE	routine	f	2.09	665.619
KYMR	2026-06-25	21.17	80	MODERATE	strong	f	0.51	6.637
MU	2026-06-25	17.71	96	HIGH	game_changer	t	0.03	1.504
SNX	2026-06-25	11.22	72	HIGH	game_changer	f	0.01	12.085
ACAD	2026-06-26	15.34	84	HIGH	strong	f	0.03	7.014
CHTR	2026-06-29	26.14	55	none	routine	f	0.62	10.211
OUST	2026-06-29	16.02	70	MODERATE	strong	f	0.16	1.216
QDEL	2026-06-29	33.47	54	MODERATE	routine	f	0.38	8.749
AVAV	2026-06-30	25.3	54	HIGH	routine	f	0.06	12.928
SEDG	2026-06-30	10.19	54.7	MODERATE	strong	f	0.02	4.835
GRND	2026-07-01	13.26	56.4	MODERATE	strong	f	0.29	5.56
