===SECTION_COVERAGE===
min_d|max_d|n_rows|n_dates
2025-12-26|2026-09-01|496880|132
(1 row)
===SECTION_RS===
ticker|ep_date|score_date|rs_composite|rs_rank
ARM|2026-05-20|2026-05-19|96.7|128
DYN|2026-05-20|2026-05-19|14.9|3308
GH|2026-05-20|2026-05-19|76.1|930
IBRX|2026-05-20|2026-05-19|80.9|744
IMVT|2026-05-20|2026-05-19|48.4|2006
SLS|2026-05-20|2026-05-19|98.5|61
TATT|2026-05-20|2026-05-19|9.2|3532
INFQ|2026-05-21|2026-05-20|26.4|2890
QBTS|2026-05-21|2026-05-20|58|1650
QUBT|2026-05-21|2026-05-20|74.2|1015
RLAY|2026-05-21|2026-05-20|88.4|457
PPTA|2026-05-22|2026-05-21|23.7|3001
ASPI|2026-05-26|2026-05-22|68.3|1249
BTGO|2026-05-26|2026-05-22|1.1|3896
FUTU|2026-05-26|2026-05-22|1|3901
NNE|2026-05-26|2026-05-22|71.9|1109
OKLO|2026-05-26|2026-05-22|27.2|2870
PONY|2026-05-26|2026-05-22|4.7|3756
POWI|2026-05-26|2026-05-22|77.6|884
RDW|2026-05-26|2026-05-22|97.9|84
ANF|2026-05-27|2026-05-26|8.4|3625
ASTI|2026-05-27|2026-05-26|92|316
BBWI|2026-05-27|2026-05-26|15.3|3353
CRSR|2026-05-27|2026-05-26|94|237
DY|2026-05-27|2026-05-26|52.6|1878
QFIN|2026-05-27|2026-05-26|11.4|3506
AVAV|2026-05-28|2026-05-27|28.2|2844
KSS|2026-05-28|2026-05-27|11.9|3490
KTOS|2026-05-28|2026-05-27|4|3804
PHR|2026-05-28|2026-05-27|7.1|3683
RCAT|2026-05-28|2026-05-27|16.9|3294
SNOW|2026-05-28|2026-05-27|70.6|1165
ASAN|2026-05-29|2026-05-28|15.7|3358
BHVN|2026-05-29|2026-05-28|58.6|1649
CHA|2026-05-29|2026-05-28|14.1|3422
DELL|2026-05-29|2026-05-28|98.6|56
PD|2026-05-29|2026-05-28|43|2273
ALOY|2026-06-01|2026-05-29|6.3|3754
NOW|2026-06-01|2026-05-29|81.6|739
SAIC|2026-06-01|2026-05-29|67.5|1304
SKM|2026-06-01|2026-05-29|76.2|956
TNDM|2026-06-01|2026-05-29|38.9|2450
CAMT|2026-06-02|2026-06-01|35.3|2594
GRRR|2026-06-02|2026-06-01|98.4|65
HPE|2026-06-02|2026-06-01|98.9|45
LAC|2026-06-02|2026-06-01|42.2|2319
MRVL|2026-06-02|2026-06-01|98.7|53
ABVX|2026-06-03|2026-06-02|1.1|3932
NVTS|2026-06-03|2026-06-02|99.1|36
PGY|2026-06-04|2026-06-03|60.5|1569
RUM|2026-06-04|2026-06-03|83.1|673
AGX|2026-06-05|2026-06-04|63|1464
MRLN|2026-06-05|2026-06-04|36.5|2515
TTAN|2026-06-05|2026-06-04|79.4|818
NRIX|2026-06-08|2026-06-05|12.4|3428
CBRL|2026-06-10|2026-06-09|91.8|324
ELVN|2026-06-11|2026-06-10|26.1|2929
IDCC|2026-06-11|2026-06-10|10|3565
NAVN|2026-06-11|2026-06-10|97.2|111
AKTS|2026-06-12|2026-06-11|57.9|1670
SHAZ|2026-06-12|2026-06-11|98.6|57
AUGO|2026-06-15|2026-06-12|5.7|3719
HQ|2026-06-15|2026-06-12|17.8|3243
HYMC|2026-06-15|2026-06-12|1.8|3873
IDR|2026-06-15|2026-06-12|32.1|2679
MMYT|2026-06-15|2026-06-12|32.7|2655
XE|2026-06-15|2026-06-12|0.6|3921
RXT|2026-06-16|2026-06-15|99.9|5
AEHR|2026-06-17|2026-06-16|75.5|601
JBL|2026-06-17|2026-06-16|75.3|606
LZB|2026-06-17|2026-06-16|23.4|1877
QURE|2026-06-17|2026-06-16|87.7|303
SWBI|2026-06-18|2026-06-15|36|2541
UUUU|2026-06-18|2026-06-17|2.1|2378
DFTX|2026-06-22|2026-06-18|81.3|459
JBIO|2026-06-22|2026-06-18|17.1|2034
MLTX|2026-06-22|2026-06-18|75|615
SYRE|2026-06-22|2026-06-18|96.9|78
ABSI|2026-06-24|2026-06-23|98.8|30
FCEL|2026-06-24|2026-06-23|74.2|641
WEN|2026-06-24|2026-06-23|11.5|2197
KYMR|2026-06-25|2026-06-24|91.5|213
MU|2026-06-25|2026-06-24|81.5|461
SNX|2026-06-25|2026-06-24|82.2|443
ACAD|2026-06-26|2026-06-25|65|863
CHTR|2026-06-29|2026-06-26|10.1|2232
OUST|2026-06-29|2026-06-26|87.1|322
QDEL|2026-06-29|2026-06-26|28.5|1776
AVAV|2026-06-30|2026-06-29|1.2|2476
SEDG|2026-06-30|2026-06-29|51.5|1216
GRND|2026-07-01|2026-06-30|83.8|410
WULF|2026-07-06|2026-07-02|27.8|1807
DOCN|2026-07-07|2026-07-06|55.2|1131
KC|2026-07-08|2026-07-07|3.2|2429
PENG|2026-07-08|2026-07-07|90.3|245
CRCL|2026-07-10|2026-07-09|0.9|2481
WDFC|2026-07-10|2026-07-09|64.5|890
CLSK|2026-07-14|2026-07-13|20|1999
TSEM|2026-07-14|2026-07-13|37.9|1553
AEHR|2026-07-15|2026-07-14|21.8|1954
MANE|2026-07-15|2026-07-14|82.8|432
PRG|2026-07-15|2026-07-14|95.4|116
SG|2026-07-17|2026-07-16|12.2|2182
HUT|2026-07-20|2026-07-17|25.9|1819
IREN|2026-07-20|2026-07-17|1.5|2419
HAS|2026-07-21|2026-07-20|12.5|2149
ARWR|2026-07-22|2026-07-21|36.1|1569
EFOR|2026-07-22|2026-07-21|50.2|1223
SMCI|2026-07-22|2026-07-21|3.4|2373
CLF|2026-07-23|2026-07-22|37.7|1521
NVCR|2026-07-23|2026-07-22|38.7|1497
THC|2026-07-24|2026-07-23|44.2|1356
WKC|2026-07-24|2026-07-23|97.7|58
NNE|2026-07-27|2026-07-24|1.3|2389
QBTS|2026-07-27|2026-07-24|5|2301
CORZ|2026-07-28|2026-07-27|21.2|1902
TER|2026-07-29|2026-07-28|11.9|2133
TEVA|2026-07-29|2026-07-28|15.8|2039
ARM|2026-07-30|2026-07-29|23.8|1832
CORT|2026-07-30|2026-07-29|84.4|375
EME|2026-07-30|2026-07-29|7.5|2225
FTNT|2026-07-30|2026-07-29|75.2|597
LRCX|2026-07-30|2026-07-29|11.7|2124
PWR|2026-07-30|2026-07-29|8.8|2194
SIMO|2026-07-30|2026-07-29|25.5|1793
BLZE|2026-07-31|2026-07-30|65.2|835
COHU|2026-07-31|2026-07-30|28.4|1719
FET|2026-07-31|2026-06-15|16.7|3306
FLNC|2026-07-31|2026-07-30|2.9|2331
MPWR|2026-07-31|2026-07-30|28|1729
NWL|2026-07-31|2026-07-30|85.7|345
FTK|2026-08-03|2026-06-15|95.7|171
LIND|2026-08-03|2026-07-31|98|48
AEIS|2026-08-04|2026-08-03|24.5|1823
AMRC|2026-08-04|2026-08-03|6.3|2262
BLZE|2026-08-04|2026-08-03|79|508
BTDR|2026-08-04|2026-08-03|24|1835
CAT|2026-08-04|2026-08-03|21.3|1900
INSP|2026-08-04|2026-08-03|62.1|916
LIFE|2026-08-04|2026-08-03|98|50
PLTR|2026-08-04|2026-08-03|7.7|2230
TSAT|2026-08-04|2026-07-10|23|1928
VOYG|2026-08-04|2026-08-03|18.5|1969
ZBRA|2026-08-04|2026-08-03|92.2|190
APPS|2026-08-05|2026-08-04|62.2|917
ECG|2026-08-05|2026-08-04|22.7|1875
HGTY|2026-08-05|2026-06-15|26.6|2912
KMT|2026-08-05|2026-08-04|46.1|1309
KODK|2026-08-05|2026-06-22|47.7|1303
KTOS|2026-08-05|2026-08-04|14.1|2084
PRGO|2026-08-05|2026-08-04|50.7|1197
ROCK|2026-08-05|2026-08-04|90.7|227
TATT|2026-08-05|2026-06-15|61.3|1538
AEVA|2026-08-06|2026-08-05|56.1|1064
CAI|2026-08-06|2026-08-05|14.2|2080
DCTH|2026-08-06|2026-06-15|82.5|696
INSM|2026-08-06|2026-08-05|4.4|2317
LFST|2026-08-06|2026-08-05|69.5|739
RDW|2026-08-06|2026-08-05|56.5|1055
SITM|2026-08-06|2026-08-05|23.8|1846
SOUN|2026-08-06|2026-08-05|12.4|2123
TASK|2026-08-06|2026-06-15|2.6|3867
TRUP|2026-08-06|2026-07-13|81.8|456
U|2026-08-06|2026-08-05|94.5|135
ACMR|2026-08-07|2026-08-06|34.8|1574
CRSR|2026-08-07|2026-08-06|89.9|244
DOCS|2026-08-07|2026-08-06|10.8|2154
FIGS|2026-08-07|2026-08-06|35.5|1559
FROG|2026-08-07|2026-08-06|45.6|1314
INOD|2026-08-07|2026-08-06|63.8|875
MTW|2026-08-07|2026-06-15|46.1|2141
NET|2026-08-07|2026-08-06|74|628
ONTO|2026-08-07|2026-08-06|34.4|1585
PRAA|2026-08-07|2026-07-10|62.9|929
PSIX|2026-08-07|2026-08-06|17.1|2003
PUBM|2026-08-07|2026-06-15|94|239
QNST|2026-08-07|2026-08-04|52.5|1154
TEAM|2026-08-07|2026-08-06|91.5|207
TWLO|2026-08-07|2026-08-06|29.2|1711
WLDN|2026-08-07|2026-08-06|10.1|2172
ABCL|2026-08-10|2026-08-07|89.5|253
ACHR|2026-08-10|2026-08-07|61.9|919
NESR|2026-08-10|2026-08-07|77.1|553
SLN|2026-08-10|2026-06-15|91.7|332
TH|2026-08-10|2026-08-07|44.9|1329
BW|2026-08-11|2026-08-10|1.5|2397
FRMI|2026-08-11|2026-08-10|31.7|1661
RIOT|2026-08-11|2026-08-10|32.6|1641
RPD|2026-08-11|2026-08-10|77.5|549
SE|2026-08-11|2026-08-10|88.5|281
ATRO|2026-08-12|2026-08-11|72.5|670
BE|2026-08-12|2026-08-11|30.5|1693
BRUN|2026-08-12|2026-08-11|1.1|2408
