scan_date	ticker	scan_et	gap_pct	prev_close	rel_volume	filter_reason	ep_score	score_tier	catalyst_quality	rank_by_gap	projected_vol_multiple	pm_rvol	adv	adv_source	minutes_since_open	price_source
2026-07-31	IESC	2026-07-31 09:25:00.061888	18.98	571.54	0.01	pre-mkt volume 2,617 < 25,000 shares				6		4.139	248350.083124	polygon_20d		polygon_delayed
2026-07-31	IESC	2026-07-31 09:30:00.049632	18.98	571.54	0.01	pre-mkt volume 2,617 < 25,000 shares				6		1.135	248350.083124	polygon_20d	1	polygon_delayed
2026-07-31	IESC	2026-07-31 09:31:00.023691	18.98	571.54	0.01	filter:session_rvol_too_low: session_rvol=0.86x (today 2,617 / baseline 3,058 n=22) < 1.0x				6		0.856	248350.083124	polygon_20d	1	polygon_delayed
2026-07-31	IESC	2026-07-31 09:35:00.04726	18.98	571.54	0.01	filter:session_rvol_too_low: session_rvol=0.41x (today 2,617 / baseline 6,378 n=22) < 1.0x				6		0.41	248350.083124	polygon_20d	5	polygon_delayed
2026-07-31	IESC	2026-07-31 09:40:00.060085	18.98	571.54	0.01	filter:session_rvol_too_low: session_rvol=0.26x (today 2,617 / baseline 10,212 n=22) < 1.0x				6		0.256	248350.083124	polygon_20d	10	polygon_delayed
2026-07-31	IESC	2026-07-31 09:45:00.049846	18.98	571.54	0.02	filter:session_rvol_too_low: session_rvol=0.43x (today 5,449 / baseline 12,748 n=22) < 1.0x				7	0.5	0.427	248350.083124	polygon_20d	15	polygon_delayed
2026-07-31	IESC	2026-07-31 09:50:00.050391	20.17	571.54	0.05	filter:session_rvol_too_low: session_rvol=0.83x (today 12,498 / baseline 14,984 n=22) < 1.0x				6	1	0.834	248350.083124	polygon_20d	20	polygon_delayed
2026-07-31	IESC	2026-07-31 09:55:00.216269	19.25	571.54	0.08	pre-mkt volume 19,837 < 25,000 shares				6	1.2	1.194	248350.083124	polygon_20d	25	polygon_delayed
2026-08-03	ALGT	2026-08-03 09:00:00.164056	14.18	98.08	0	filter:pm_rvol_too_low: pm_rvol=0.44x (today 429 / baseline 966 n=21) < 1.0x				5		0.444	553691.9129550001	polygon_20d		polygon_delayed
2026-08-03	ALGT	2026-08-03 09:00:00.169877	14.18	98.08	0	filter:pm_rvol_too_low: pm_rvol=0.44x (today 429 / baseline 966 n=21) < 1.0x				5		0.444	553691.9129550001	polygon_20d		polygon_delayed
2026-08-03	ALGT	2026-08-03 09:05:00.045821	14.18	98.08	0	filter:pm_rvol_too_low: pm_rvol=0.43x (today 429 / baseline 1,002 n=21) < 1.0x				5		0.428	553691.9129550001	polygon_20d		polygon_delayed
2026-08-03	ALGT	2026-08-03 09:10:00.072004	12.15	98.08	0	filter:pm_rvol_too_low: pm_rvol=0.68x (today 693 / baseline 1,022 n=21) < 1.0x				5		0.678	553691.9129550001	polygon_20d		polygon_delayed
2026-08-03	ALGT	2026-08-03 09:15:00.052071	12.15	98.08	0	filter:pm_rvol_too_low: pm_rvol=0.65x (today 693 / baseline 1,073 n=21) < 1.0x				5		0.646	553691.9129550001	polygon_20d		polygon_delayed
2026-08-03	ALGT	2026-08-03 09:20:00.045892	12.15	98.08	0	filter:pm_rvol_too_low: pm_rvol=0.64x (today 693 / baseline 1,084 n=21) < 1.0x				5		0.639	553691.9129550001	polygon_20d		polygon_delayed
2026-08-03	ALGT	2026-08-03 09:25:00.062256	12.15	98.08	0	filter:pm_rvol_too_low: pm_rvol=0.63x (today 693 / baseline 1,098 n=21) < 1.0x				5		0.631	553691.9129550001	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:00:00.021726	10.19	27.68	0.25	filter:pm_rvol_too_low: pm_rvol=0.19x (today 216,102 / baseline 1,134,858 n=21) < 1.0x				4		0.19	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:10:00.026581	16.78	27.68	0.3	filter:pm_rvol_too_low: pm_rvol=0.21x (today 255,096 / baseline 1,226,525 n=21) < 1.0x				3		0.208	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:15:00.020429	22.72	27.68	0.37	filter:pm_rvol_too_low: pm_rvol=0.25x (today 310,907 / baseline 1,253,436 n=21) < 1.0x				3		0.248	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:20:00.023475	34.22	27.68	0.52	filter:pm_rvol_too_low: pm_rvol=0.34x (today 440,432 / baseline 1,291,801 n=21) < 1.0x				1		0.341	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:25:00.01827	34.36	27.68	0.62	filter:pm_rvol_too_low: pm_rvol=0.40x (today 523,664 / baseline 1,313,145 n=21) < 1.0x				1		0.399	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:30:00.031122	33.6	27.68	0.65	filter:pm_rvol_too_low: pm_rvol=0.41x (today 554,185 / baseline 1,352,259 n=21) < 1.0x				1		0.41	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:35:00.039233	33.49	27.68	0.69	filter:pm_rvol_too_low: pm_rvol=0.43x (today 584,997 / baseline 1,369,938 n=21) < 1.0x				2		0.427	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:40:00.023051	24.57	27.68	0.74	filter:pm_rvol_too_low: pm_rvol=0.45x (today 627,924 / baseline 1,394,115 n=21) < 1.0x				3		0.45	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:45:00.029686	26.48	27.68	0.78	filter:pm_rvol_too_low: pm_rvol=0.47x (today 664,417 / baseline 1,409,911 n=21) < 1.0x				3		0.471	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:50:00.122843	33.45	27.68	0.82	filter:pm_rvol_too_low: pm_rvol=0.49x (today 694,998 / baseline 1,426,326 n=21) < 1.0x				1		0.487	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 08:55:00.023903	35.21	27.68	0.91	filter:pm_rvol_too_low: pm_rvol=0.54x (today 772,822 / baseline 1,437,065 n=21) < 1.0x				2		0.538	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 09:00:00.164056	31.65	27.68	0.94	filter:pm_rvol_too_low: pm_rvol=0.58x (today 798,658 / baseline 1,385,541 n=22) < 1.0x				2		0.576	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 09:00:00.169877	31.65	27.68	0.94	filter:pm_rvol_too_low: pm_rvol=0.58x (today 798,658 / baseline 1,385,541 n=22) < 1.0x				2		0.576	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 09:05:00.045821	30.06	27.68	0.96	filter:pm_rvol_too_low: pm_rvol=0.58x (today 813,562 / baseline 1,404,474 n=22) < 1.0x				2		0.579	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 09:10:00.072004	34.39	27.68	0.97	filter:pm_rvol_too_low: pm_rvol=0.58x (today 828,339 / baseline 1,434,174 n=22) < 1.0x				1		0.578	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 09:15:00.052071	33.31	27.68	0.99	filter:pm_rvol_too_low: pm_rvol=0.57x (today 843,324 / baseline 1,470,682 n=22) < 1.0x				2		0.573	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 09:20:00.045892	36.52	27.68	1.04	filter:pm_rvol_too_low: pm_rvol=0.59x (today 885,318 / baseline 1,494,683 n=22) < 1.0x				1		0.592	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 09:25:00.062256	36.01	27.68	1.08	filter:pm_rvol_too_low: pm_rvol=0.60x (today 917,254 / baseline 1,520,075 n=22) < 1.0x				1		0.603	850478.415663	polygon_20d		polygon_delayed
2026-08-03	DFNS	2026-08-03 09:30:00.035013	45.94	27.68	1.18	already up 536% in prior 5 days (extended)				1		24.215	850478.415663	polygon_20d	1	polygon_delayed
2026-08-03	DFNS	2026-08-03 09:31:00.024934	52.85	27.68	1.25	already up 536% in prior 5 days (extended)				1		13.452	850478.415663	polygon_20d	1	polygon_delayed
2026-08-03	DFNS	2026-08-03 09:35:00.054405	71.06	27.68	1.49	already up 536% in prior 5 days (extended)				1		8.315	850478.415663	polygon_20d	5	polygon_delayed
2026-08-03	DFNS	2026-08-03 09:40:00.060539	60.91	27.68	1.73	already up 536% in prior 5 days (extended)				1		5.59	850478.415663	polygon_20d	10	polygon_delayed
