UGRO|2026-03-25|15.10|8.08|36.30|7.02|36.29|16.08|2618.2|0.12|0|0||0|||||
KOD|2026-03-26|55.65|35.41|40.46|22.75|39.76|7.27|519.3|2.80|0|0||0|||||
NAVN|2026-03-26|23.06|11.26|13.78|9.15|13.11|6.56|276.2|3.87|0|0||0|||||
AGX|2026-03-27|23.06|505.60|579.00|410.85|566.62|6.29|1112.3|3.27|0|0||0|||||
ARTL|2026-03-27|150.47|7.99|19.91|3.19|10.54|20.95|869.6|0.01|0|0||0|||||
LGN|2026-03-27|11.38|59.01|60.50|52.98|54.75|5.66|146.1|8.96|1|0||0|||||
U|2026-03-27|18.07|20.23|20.33|17.13|19.45|6.01|1045.9|6.46|0|0||0|||||
AA|2026-03-30|9.57|64.00|66.00|58.41|63.22|5.99|811.8|3.29|0|0||0|||||
CENX|2026-03-30|13.58|56.39|59.84|49.65|53.25|6.90|246.4|4.20|0|0||0|||||
SGML|2026-03-30|23.90|12.96|14.78|10.46|11.92|7.90|242.6|11.04|1|0||0|||||
SMTC|2026-03-30|8.12|78.02|78.50|72.16|70.58|6.56|355.2|9.17|1|0||0|||||
AEHR|2026-03-31|11.27|33.51|37.52|30.12|37.08|11.36|122.2|15.52|1|0||0|||||
AGIO|2026-03-31|13.88|33.72|36.35|29.61|33.83|3.71|121.6|1.86|0|0||0|||||
ALKS|2026-03-31|9.32|32.96|36.22|30.15|35.39|3.45|425.5|0.89|0|0||0|||||
APLS|2026-03-31|136.40|40.40|40.45|17.09|40.23|3.67|3633.2|0.52|0|0||0|||||
CNTA|2026-03-31|45.12|40.03|40.26|27.58|39.72|6.03|1896.0|0.11|0|0||0|||||
MRVL|2026-03-31|9.78|96.40|99.56|87.81|99.05|5.29|5034.4|13.71|1|0||0|||||
SRRK|2026-03-31|10.65|47.67|50.50|43.08|49.16|6.15|245.6|0.82|0|0||0|||||
NCNO|2026-04-01|22.63|18.37|18.44|14.98|16.57|5.18|212.1|2.91|0|0||0|||||
TH|2026-04-01|33.84|12.42|13.29|9.28|12.66|4.93|122.7|5.54|0|0||0|||||
GSAT|2026-04-02|11.01|76.08|78.30|68.53|77.73|7.28|374.1|0.90|0|0||0|||||
AIXI|2026-04-06|106.66|5.40|17.25|2.61|16.08|19.89|1005.8|11.92|1|0||0|||||
MLEC|2026-04-06|25.04|8.69|11.76|6.95|11.44|11.53|119.8|0.20|0|0||0|||||
SLNO|2026-04-06|32.46|52.31|52.38|39.49|52.25|6.29|3031.1|0.20|0|0||0|||||
AIXI|2026-04-07|38.09|22.20|54.20|16.08|39.00|23.41|1293.0|-0.37|0|0||0|||||
ALHC|2026-04-07|8.52|20.26|22.33|18.67|21.66|4.07|323.3|1.23|0|0||0|||||
HCAI|2026-04-07|204.91|13.42|16.32|4.40|10.67|13.01|175.2|11.04|1|0||0|||||
HUM|2026-04-07|10.59|202.00|203.50|182.65|197.15|3.59|1010.5|7.03|0|0||0|||||
UNH|2026-04-07|9.77|308.85|312.43|281.36|307.73|2.68|6722.4|7.91|0|0||0|||||
AAL|2026-04-08|11.29|12.03|12.20|10.81|11.41|3.83|1140.2|4.58|0|0||0|||||
ACMR|2026-04-08|12.36|47.09|47.50|41.91|46.14|5.54|62.7|4.35|0|0||0|||||
AEHR|2026-04-08|14.13|57.35|66.28|50.25|63.16|10.95|673.0|5.68|0|0||0|||||
AFRM|2026-04-08|9.32|51.82|53.38|47.40|49.81|5.57|300.1|6.88|0|0||0|||||
AG|2026-04-08|8.47|23.06|23.30|21.26|20.91|6.45|444.3|1.42|0|0||0|||||
ALGM|2026-04-08|9.16|36.33|36.75|33.28|35.89|4.93|103.5|8.76|1|0||0|||||
ALGT|2026-04-08|12.31|90.68|94.64|80.74|86.53|5.43|83.5|1.96|0|0||0|||||
ALK|2026-04-08|12.78|41.65|43.25|36.93|39.91|5.06|391.0|3.66|0|0||0|||||
AMKR|2026-04-08|9.03|51.92|53.29|47.62|52.42|5.99|165.9|8.54|1|0||0|||||
APLD|2026-04-08|12.97|28.45|29.39|25.18|27.79|7.25|979.6|8.17|1|0||0|||||
ASML|2026-04-08|8.77|1421.00|1429.29|1306.45|1421.05|3.31|3424.5|2.65|0|0||0|||||
ASTS|2026-04-08|8.74|100.66|101.89|92.57|96.46|8.70|1088.5|0.92|0|0||0|||||
ASX|2026-04-08|8.16|24.00|24.16|22.19|24.14|3.30|210.3|12.66|1|0||0|||||
AU|2026-04-08|12.09|113.30|113.30|101.08|107.42|4.71|391.3|0.96|0|0||0|||||
AXTA|2026-04-08|10.72|28.93|29.18|26.13|28.66|3.00|112.7|2.99|0|0||0|||||
AXTI|2026-04-08|12.16|50.99|57.50|45.46|53.18|16.47|972.8|6.58|0|0||0|||||
